Temperature ,Cu Dose (mol%),Concentration (ppm),Response
120,3.64,59.59,265.45
200,1.74,55.92,291.44
240,1.25,94.49,191.98
160,0.53,37.55,227.71
280,0.77,44.9,94.26
120,0.53,52.24,211.38
280,3.07,22.86,132.42
280,3.8,70.61,149.27
160,3.84,83.47,299.43
160,2.71,52.24,286.72
200,2.18,88.98,318.05
240,2.83,61.43,209.65
200,3.92,100.0,331.06
120,2.42,83.47,272.56
200,1.37,44.9,277.66
280,0.16,43.06,76.38
160,0.61,90.82,256.72
240,3.07,26.53,194.77
120,0.53,21.02,195.66
240,0.32,17.35,128.25
280,3.92,81.63,153.35
240,2.46,26.53,184.94
280,2.14,87.14,148.74
120,0.16,85.31,217.35
200,1.09,41.22,269.13
280,0.2,76.12,94.09
280,1.62,88.98,137.99
160,1.01,28.37,236.31
280,2.14,44.9,127.71
240,1.45,74.29,185.86
160,0.53,50.41,234.33
280,3.92,79.8,152.69
160,0.69,24.69,225.91
240,3.88,81.63,214.35
200,3.84,10.0,286.49
160,1.66,61.43,268.87
120,3.03,76.12,279.58
240,0.32,28.37,133.67
280,2.75,22.86,128.68
160,1.49,30.2,249.35
280,2.3,90.82,153.75
200,2.14,46.73,296.68
240,0.77,96.33,179.9
240,2.18,13.67,172.68
160,3.92,63.27,288.52
120,1.21,90.82,248.82
200,3.56,17.35,293.03
160,3.11,43.06,287.06
240,0.0,32.04,125.85
240,2.38,70.61,205.27
280,1.82,10.0,102.79
120,2.38,54.08,257.25
160,0.85,79.8,257.67
200,0.36,61.43,259.13
120,1.21,63.27,234.97
200,1.9,100.0,317.85
160,2.18,37.55,268.82
120,2.91,87.14,283.93
280,0.65,13.67,75.18
120,0.73,92.65,237.27
280,3.88,94.49,160.54
120,3.03,83.47,283.54
200,1.62,83.47,302.79
160,1.05,21.02,233.79
160,2.95,88.98,309.49
120,3.15,32.04,256.5
280,1.13,15.51,89.16
160,3.43,68.78,295.77
160,0.08,43.06,218.49
280,0.93,30.2,91.09
200,0.12,39.39,241.16
280,2.38,44.9,132.73
200,0.04,19.18,228.89
200,0.81,46.73,264.28
120,1.62,92.65,259.69
160,0.73,88.98,259.32
120,3.84,85.31,276.35
280,3.52,66.94,150.45
240,1.21,85.31,186.17
160,1.33,43.06,252.07
200,0.97,90.82,290.76
160,1.09,33.88,241.09
160,1.41,65.1,265.14
240,1.05,70.61,174.24
120,2.99,94.49,289.5
120,2.18,94.49,273.05
240,2.38,33.88,186.95
200,2.79,61.43,316.74
280,0.53,44.9,87.71
120,2.59,52.24,260.15
120,2.3,94.49,275.84
160,0.32,35.71,221.23
160,3.27,15.51,270.88
200,2.46,81.63,320.39
280,0.24,33.88,73.99
160,1.82,11.84,247.67
160,4.0,32.04,271.88
160,1.33,37.55,249.28
200,2.95,28.37,303.3
160,0.2,10.0,205.19
200,3.07,96.33,337.44
240,3.52,85.31,218.84
160,1.62,44.9,259.91
160,1.78,15.51,248.8
240,0.81,33.88,149.57
120,0.4,41.22,202.54
120,2.87,19.18,249.22
160,3.72,32.04,274.62
200,2.06,55.92,299.04
280,2.79,33.88,135.24
280,2.59,37.55,132.86
200,0.53,43.06,254.95
280,2.1,61.43,135.04
120,3.56,77.96,275.15
280,0.85,24.69,86.45
240,3.19,26.53,193.3
120,0.32,37.55,198.3
240,1.05,39.39,159.14
120,0.12,76.12,211.27
280,2.55,48.57,138.07
200,1.66,90.82,307.42
120,2.51,30.2,247.53
240,0.12,68.78,147.69
160,0.48,90.82,253.6
240,2.59,83.47,215.68
160,2.14,68.78,283.39
120,2.3,35.71,246.49
160,2.91,61.43,295.52
160,1.33,77.96,269.27
280,2.38,13.67,117.27
120,1.45,43.06,230.87
160,1.78,32.04,256.87
120,0.65,81.63,229.1
160,1.45,98.16,282.66
160,0.24,10.0,206.34
240,2.59,35.71,192.13
240,1.29,43.06,167.08
240,0.93,33.88,153.41
240,2.99,24.69,194.14
120,0.24,57.76,205.92
120,3.76,15.51,242.16
120,3.64,37.55,254.59
160,1.41,85.31,275.21
280,0.93,83.47,117.98
120,0.77,74.29,228.84
160,2.83,77.96,302.04
200,1.7,74.29,300.19
280,0.16,79.8,94.49
280,1.01,35.71,95.84
200,0.4,63.27,261.2
200,3.68,39.39,303.03
120,0.85,87.14,237.48
160,0.12,94.49,245.13
160,3.64,96.33,307.61
240,2.95,30.2,196.07
200,0.48,100.0,281.88
280,1.66,63.27,125.66
280,1.9,11.84,105.41
240,0.89,48.57,159.59
160,0.32,65.1,235.82
240,3.15,10.0,185.29
240,2.87,33.88,196.48
160,2.06,13.67,254.34
240,3.96,44.9,194.46
200,0.93,33.88,261.0
240,0.73,98.16,179.67
160,0.24,50.41,226.32
160,0.12,70.61,232.87
160,1.62,54.08,264.16
280,1.09,74.29,117.45
120,2.87,61.43,270.32
240,2.51,88.98,217.16
280,2.1,88.98,148.46
160,1.01,37.55,240.97
200,1.45,70.61,292.78
160,3.56,13.67,267.29
200,3.43,70.61,321.24
120,2.42,52.24,257.17
280,1.33,44.9,109.0
240,2.46,65.1,204.32
240,2.59,55.92,202.31
160,3.35,90.82,308.21
120,3.56,59.59,266.8
200,3.39,74.29,323.12
240,1.05,15.51,147.06
240,3.39,68.78,212.23
160,0.73,50.41,240.43
280,3.76,77.96,153.58
240,1.54,98.16,200.4
280,2.22,33.88,123.87
240,3.03,13.67,188.03
160,3.68,83.47,301.2
280,0.81,79.8,112.9
240,1.54,48.57,175.69
280,1.05,24.69,91.44
240,3.47,37.55,196.19
120,3.6,39.39,255.74
120,0.48,54.08,210.95
120,3.68,70.61,270.76
280,2.1,100.0,154.03
120,3.88,87.14,276.72
160,3.43,46.73,285.11
200,1.29,24.69,265.99
240,1.13,63.27,173.33
120,0.32,81.63,220.38
160,3.03,28.37,279.73
200,3.92,30.2,295.82
120,3.43,39.39,257.26
200,1.25,33.88,269.29
200,4.0,39.39,299.72
200,2.87,88.98,331.97
160,3.8,100.0,307.65
200,4.0,22.86,291.66
120,1.9,35.71,237.66
200,3.64,63.27,315.44
280,1.13,70.61,116.89
240,2.95,41.22,201.6
280,3.31,92.65,165.2
280,3.07,44.9,143.57
120,2.06,59.59,253.02
200,3.07,72.45,325.63
280,3.11,43.06,142.09
280,1.41,44.9,110.76
280,2.87,33.88,136.61
200,3.47,41.22,305.78
200,0.65,61.43,267.55
160,1.13,100.0,274.93
120,0.48,41.22,204.57
120,1.45,77.96,248.26
280,0.89,98.16,124.27
200,3.15,10.0,293.42
240,0.44,88.98,167.17
120,0.53,88.98,229.68
240,0.57,28.37,140.9
240,1.78,44.9,179.69
240,0.4,68.78,156.41
120,0.44,85.31,225.73
280,0.89,100.0,125.2
200,2.91,44.9,310.82
280,3.56,13.67,123.29
120,1.05,22.86,210.7
240,1.13,48.57,166.0
120,3.11,74.29,278.02
240,1.98,44.9,184.11
120,1.9,98.16,268.73
280,2.87,35.71,137.75
200,0.81,22.86,252.41
240,1.45,24.69,161.77
120,2.3,88.98,272.81
160,0.48,15.51,216.05
160,2.18,92.65,296.58
160,0.24,57.76,229.94
240,1.45,61.43,180.29
200,0.57,74.29,271.13
160,0.08,48.57,220.66
160,0.44,83.47,248.45
280,2.91,57.76,149.56
240,0.53,15.51,132.95
280,2.87,68.78,154.19
160,2.22,76.12,289.14
160,1.58,26.53,249.66
200,3.11,92.65,335.26
280,2.3,22.86,119.75
200,1.41,90.82,301.47
200,1.45,30.2,273.02
120,2.67,10.0,241.07
240,2.55,61.43,204.31
160,1.66,98.16,287.97
280,3.88,88.98,157.84
160,1.01,54.08,249.21
200,0.85,94.49,289.52
240,2.38,19.18,179.63
280,2.34,48.57,133.86
280,1.78,17.35,105.9
160,0.28,32.04,218.44
280,2.18,13.67,112.96
280,2.46,17.35,120.48
120,3.27,52.24,265.14
200,4.0,28.37,293.98
200,0.24,68.78,259.21
160,1.29,10.0,234.12
160,0.24,54.08,228.47
120,1.98,63.27,253.05
200,2.99,87.14,333.4
240,0.12,17.35,122.31
280,2.3,24.69,120.54
280,2.79,11.84,123.91
280,0.53,33.88,82.18
240,1.25,96.33,192.38
120,0.12,96.33,222.03
240,1.37,68.78,181.91
240,0.4,10.0,127.3
280,0.4,26.53,75.06
160,0.04,43.06,217.09
240,0.0,87.14,153.72
120,1.25,94.49,252.0
160,1.33,15.51,238.2
160,1.78,98.16,290.2
240,2.91,21.02,191.02
120,0.4,26.53,194.79
280,3.03,70.61,157.04
120,1.01,46.73,221.5
160,3.03,26.53,278.94
240,2.63,11.84,181.25
120,0.89,48.57,219.26
280,0.57,22.86,77.88
160,0.16,10.0,203.89
120,2.83,63.27,270.41
200,3.68,19.18,292.58
200,2.26,96.33,323.76
200,2.3,72.45,312.84
200,3.43,100.0,335.52
160,3.47,46.73,284.43
120,3.56,48.57,261.01
280,0.65,48.57,92.53
160,2.46,65.1,288.21
280,2.14,74.29,142.36
200,3.92,74.29,317.85
160,1.13,61.43,256.04
120,1.33,13.67,212.98
240,0.81,30.2,147.91
120,3.23,55.92,267.65
120,2.06,35.71,241.38
120,1.37,54.08,234.4
160,0.12,35.71,215.34
160,2.46,83.47,297.55
200,0.73,55.92,266.62
160,3.03,33.88,282.43
280,1.17,11.84,87.99
240,1.82,28.37,172.05
280,3.39,50.41,143.37
200,3.56,10.0,289.3
160,1.58,100.0,286.06
240,2.42,94.49,218.51
240,0.04,11.84,117.43
120,2.59,66.94,267.65
240,1.58,81.63,192.99
160,2.18,96.33,297.84
200,0.73,43.06,260.29
120,3.64,11.84,241.46
120,0.65,28.37,202.65
200,2.79,43.06,307.7
160,3.35,30.2,277.29
240,2.1,32.04,180.44
240,2.55,50.41,198.76
120,0.32,10.0,184.56
200,1.21,48.57,275.73
120,3.27,21.02,249.63
120,0.73,17.35,199.18
120,3.47,32.04,253.14
160,3.27,10.0,268.21
120,0.93,70.61,231.76
160,2.1,54.08,275.53
160,0.44,52.24,233.24
160,3.68,94.49,306.02
200,2.95,85.31,331.71
280,2.3,50.41,133.87
200,3.19,21.02,298.46
160,2.79,77.96,301.36
240,2.83,74.29,216.48
280,0.24,98.16,106.03
200,2.51,10.0,285.49
120,0.4,88.98,226.3
280,3.72,50.41,140.07
120,0.93,35.71,214.25
280,1.33,37.55,105.38
120,2.71,70.61,271.68
120,0.44,94.49,230.57
120,1.66,28.37,228.81
200,3.64,94.49,331.15
120,2.22,87.14,270.54
160,2.75,68.78,295.86
280,1.66,43.06,115.95
200,1.66,77.96,300.98
200,0.16,81.63,263.69
200,1.33,94.49,301.62
200,2.63,57.76,311.95
160,2.71,81.63,301.16
280,2.02,32.04,118.42
280,2.51,46.73,136.02
200,3.31,92.65,332.83
240,1.58,92.65,198.48
120,0.08,79.8,212.02
200,1.94,81.63,309.32
240,3.92,98.16,222.08
120,2.51,83.47,274.28
280,2.26,55.92,135.46
120,1.17,92.65,248.37
120,1.01,77.96,237.15
280,2.95,66.94,154.39
200,2.46,77.96,318.77
240,2.71,57.76,205.09
280,3.96,13.67,119.26
160,3.64,35.71,277.57
240,2.02,46.73,185.81
200,1.78,52.24,291.07
240,1.62,15.51,161.11
200,1.05,37.55,265.98
200,3.23,63.27,319.57
280,3.72,39.39,134.61
120,0.85,92.65,240.26
280,0.65,77.96,107.67
120,0.44,41.22,203.55
120,3.03,13.67,248.96
160,3.8,65.1,290.99
120,2.34,70.61,264.25
120,1.37,98.16,256.65
200,0.57,28.37,248.36
280,1.17,30.2,97.28
200,1.94,59.59,298.66
280,1.29,46.73,108.54
280,2.55,83.47,154.97
120,3.11,70.61,276.33
120,2.42,63.27,262.35
160,3.68,28.37,273.51
160,3.11,65.1,297.37
280,3.92,39.39,132.61
240,2.38,37.55,188.96
160,1.58,30.2,251.39
160,3.84,87.14,300.89
160,2.75,54.08,288.37
120,0.0,54.08,197.36
120,3.43,57.76,266.29
120,0.48,15.51,192.06
280,1.09,21.02,91.07
240,1.66,35.71,172.32
240,1.49,54.08,177.62
120,3.47,19.18,246.9
200,0.16,55.92,250.95
160,1.21,28.37,241.49
280,0.81,63.27,104.5
160,3.96,26.53,269.54
280,2.42,65.1,143.35
120,1.09,52.24,226.24
280,2.91,72.45,156.71
160,0.0,59.59,223.97
160,3.15,70.61,299.72
200,0.53,94.49,280.18
280,2.55,85.31,155.97
200,3.84,22.86,293.04
240,1.37,96.33,195.81
240,3.96,55.92,200.38
240,2.95,92.65,227.34
160,2.79,21.02,272.49
280,2.99,83.47,163.53
280,2.26,90.82,153.08
120,0.12,83.47,215.27
120,2.95,77.96,280.33
120,3.84,79.8,273.23
120,3.92,74.29,269.55
120,2.83,26.53,251.86
120,3.52,26.53,250.24
240,0.36,52.24,147.18
280,0.93,74.29,113.42
240,2.3,85.31,210.8
160,0.97,79.8,261.28
280,4.0,48.57,136.5
240,0.85,70.61,169.17
200,2.14,10.0,278.12
160,0.24,79.8,241.17
200,3.07,61.43,320.27
280,3.92,33.88,129.76
200,2.79,87.14,329.69
280,4.0,96.33,160.15
120,2.59,92.65,280.56
120,1.66,41.22,234.58
160,2.51,83.47,298.07
280,0.4,37.55,80.21
240,3.23,41.22,200.64
240,3.52,57.76,205.8
240,2.34,21.02,179.65
240,1.54,65.1,184.18
280,1.7,77.96,134.09
120,2.14,44.9,247.91
160,0.0,54.08,221.09
280,1.94,79.8,140.85
200,3.64,87.14,327.35
120,1.13,48.57,225.75
240,2.59,22.86,185.49
160,2.83,33.88,279.67
160,1.7,48.57,263.61
280,2.59,39.39,133.93
200,3.72,98.16,331.51
200,2.83,30.2,302.03
120,1.82,70.61,253.24
160,2.46,48.57,280.13
120,1.01,85.31,241.04
280,0.12,63.27,85.19
160,0.4,37.55,224.44
280,3.39,76.12,155.9
280,2.67,22.86,126.81
200,0.4,48.57,253.93
280,3.56,50.41,142.15
200,1.41,98.16,305.28
240,3.43,22.86,189.24
120,0.65,44.9,210.97
160,1.7,17.35,247.89
280,3.43,52.24,143.96
160,2.83,92.65,308.92
200,2.75,32.04,301.17
200,3.31,68.78,321.43
240,3.52,65.1,209.04
160,3.31,35.71,280.17
200,3.23,77.96,326.71
120,2.14,17.35,233.59
280,1.54,21.02,102.01
120,0.85,11.84,199.66
160,3.52,83.47,302.39
280,3.11,94.49,168.33
120,3.35,96.33,286.56
240,0.44,79.8,162.96
120,3.84,39.39,252.88
280,0.28,26.53,71.44
280,1.86,98.16,147.77
120,0.48,74.29,221.07
120,1.58,81.63,253.56
240,3.52,44.9,199.25
240,0.08,87.14,155.58
200,0.28,37.55,245.2
120,2.63,79.8,274.59
280,3.15,52.24,146.45
120,3.03,90.82,286.92
160,3.23,21.02,274.27
200,2.34,48.57,301.75
240,3.8,59.59,204.0
200,2.06,35.71,288.94
240,2.75,43.06,198.82
200,2.71,46.73,308.0
120,1.25,46.73,227.77
280,0.28,76.12,96.31
160,0.2,13.67,206.69
280,2.91,83.47,162.07
200,2.99,13.67,296.83
240,2.75,70.61,212.76
200,3.84,44.9,304.22
200,0.69,48.57,261.57
200,4.0,74.29,317.16
160,2.38,44.9,276.49
120,1.41,15.51,216.11
240,0.16,32.04,131.18
240,1.01,90.82,183.76
200,2.06,70.61,306.46
240,3.8,79.8,213.86
240,0.61,59.59,156.97
120,0.97,54.08,224.09
240,3.84,57.76,202.31
160,1.74,44.9,262.39
280,2.67,39.39,135.58
240,0.57,98.16,175.58
200,0.32,30.2,242.49
120,0.53,10.0,190.66
160,0.08,19.18,205.85
200,3.8,11.84,288.09
240,1.45,54.08,176.42
280,0.12,59.59,83.29
160,0.08,50.41,221.68
280,0.36,70.61,95.54
120,1.54,37.55,230.51
280,3.72,85.31,157.5
160,3.8,94.49,305.21
280,3.35,13.67,125.04
240,1.37,92.65,193.74
240,1.94,52.24,186.96
280,3.92,37.55,131.62
280,0.61,37.55,86.32
280,3.84,50.41,138.59
160,2.06,59.59,276.85
200,2.06,94.49,318.88
160,1.33,11.84,236.14
280,0.36,41.22,81.02
200,0.24,24.69,237.8
280,1.37,28.37,101.56
120,0.12,98.16,222.85
120,3.31,54.08,265.92
280,1.41,74.29,125.81
160,2.95,26.53,278.65
160,1.78,46.73,264.29
240,3.03,66.94,215.21
280,0.73,90.82,116.13
280,3.8,32.04,130.11
160,0.65,30.2,227.84
280,1.98,96.33,149.74
120,3.15,30.2,255.7
160,2.18,52.24,276.1
240,0.48,37.55,142.81
160,2.83,39.39,282.59
160,2.59,100.0,308.3
160,3.39,96.33,310.12
160,1.05,26.53,236.79
280,0.24,83.47,98.71
160,0.97,33.88,238.17
280,1.45,26.53,102.55
120,3.56,96.33,284.51
160,3.47,92.65,308.09
160,3.39,63.27,294.04
280,2.34,96.33,157.42
280,0.2,96.33,104.28
240,0.28,28.37,132.48
120,1.29,96.33,253.41
120,1.86,26.53,232.33
240,0.0,43.06,131.67
160,3.56,37.55,279.26
240,1.66,68.78,188.46
280,0.16,37.55,73.74
280,2.42,90.82,156.23
160,1.21,22.86,238.72
160,3.03,59.59,295.61
120,0.04,63.27,202.72
160,0.04,65.1,227.84
280,0.36,59.59,90.59
240,4.0,87.14,215.94
240,2.95,50.41,206.71
200,1.98,11.84,275.39
120,1.98,26.53,234.88
240,1.45,15.51,157.63
280,3.92,77.96,151.62
160,3.72,85.31,301.71
120,2.91,68.78,274.76
120,1.7,28.37,229.44
240,3.39,76.12,216.11
200,3.64,37.55,302.51
120,3.92,98.16,281.96
200,3.43,61.43,316.26
280,2.26,81.63,148.94
120,2.34,15.51,237.15
120,3.88,39.39,252.84
120,1.29,61.43,236.38
240,1.01,68.78,172.72
240,2.83,17.35,187.75
160,3.56,66.94,293.92
120,3.35,72.45,275.04
120,2.99,98.16,291.06
200,2.22,37.55,293.61
240,2.3,26.53,181.96
280,1.54,50.41,116.29
120,2.06,83.47,265.16
160,2.99,13.67,272.67
160,0.53,21.02,219.37
280,1.62,61.43,124.34
160,0.93,22.86,231.8
160,1.62,10.0,242.28
160,0.04,17.35,203.9
280,1.54,88.98,135.85
240,2.38,65.1,202.8
120,2.99,57.76,270.54
200,0.85,81.63,282.63
120,0.12,61.43,204.41
120,3.15,28.37,254.66
160,3.72,83.47,300.82
120,0.24,74.29,214.02
280,1.66,65.1,126.93
200,2.34,90.82,322.71
200,1.09,96.33,296.21
200,0.44,35.71,248.99
280,1.45,35.71,107.33
120,0.24,39.39,196.99
280,0.65,83.47,110.09
120,0.32,72.45,215.48
120,3.88,54.08,260.75
200,3.56,44.9,307.18
160,3.39,90.82,307.92
240,0.44,66.94,156.31
280,2.46,39.39,131.71
200,0.48,90.82,277.28
200,3.52,68.78,319.69
120,3.92,66.94,266.24
280,0.81,44.9,95.14
280,2.18,65.1,138.21
120,0.32,54.08,206.44
200,2.1,52.24,298.18
200,0.36,33.88,245.55
280,3.92,46.73,136.02
280,2.67,52.24,141.49
200,2.67,48.57,307.99
160,2.55,68.78,292.11
120,2.51,77.96,271.75
200,2.1,55.92,300.13
280,1.9,79.8,139.65
240,3.72,50.41,199.95
240,1.37,77.96,186.03
160,0.69,11.84,219.32
200,3.31,41.22,307.52
120,1.62,98.16,262.15
200,2.75,13.67,292.33
240,0.24,59.59,146.85
120,2.02,33.88,239.6
200,3.88,77.96,320.16
160,1.86,61.43,273.56
240,3.96,52.24,198.29
160,2.67,90.82,305.46
120,2.71,24.69,248.98
120,1.49,100.0,260.26
200,1.21,66.94,284.63
120,1.86,50.41,244.54
200,2.75,76.12,323.44
280,3.39,92.65,164.42
240,1.25,37.55,163.2
240,3.07,41.22,201.98
120,0.89,46.73,218.52
240,3.11,57.76,209.72
160,1.17,17.35,235.24
280,1.05,70.61,114.62
200,2.42,46.73,302.28
120,3.56,81.63,276.87
120,1.82,92.65,264.13
280,3.64,55.92,143.51
240,1.45,22.86,160.71
200,3.88,39.39,300.9
240,3.56,74.29,213.78
200,0.77,57.76,268.95
240,3.11,39.39,200.4
200,2.34,10.0,282.37
160,3.68,90.82,304.49
200,1.17,90.82,295.66
120,4.0,32.04,248.02
280,2.18,96.33,154.27
200,3.68,85.31,326.04
200,1.49,39.39,278.17
200,2.75,65.1,317.66
280,1.86,63.27,130.18
120,2.87,54.08,266.86
200,1.17,19.18,260.11
240,2.59,92.65,220.64
120,3.84,55.92,261.76
240,2.38,61.43,200.92
120,2.75,30.2,252.09
120,2.46,41.22,252.45
280,1.13,88.98,125.87
200,3.27,50.41,312.47
160,3.76,92.65,304.57
120,0.73,68.78,225.17
120,0.93,37.55,214.75
240,0.73,94.49,177.56
200,2.91,72.45,324.48
120,3.23,48.57,263.83
120,1.33,70.61,241.88
240,3.39,83.47,219.58
120,0.48,17.35,193.27
120,3.64,48.57,260.04
200,2.02,87.14,314.22
160,3.96,30.2,271.4
200,2.99,15.51,297.52
120,1.7,79.8,254.58
200,3.23,87.14,331.09
240,1.17,88.98,186.98
120,2.71,21.02,247.05
240,0.32,50.41,144.58
120,1.78,15.51,225.11
280,2.34,55.92,137.24
280,0.36,74.29,97.72
160,0.44,90.82,251.95
160,2.14,43.06,270.72
240,0.77,65.1,164.26
160,1.05,44.9,245.53
280,1.33,74.29,123.47
160,1.01,13.67,229.28
280,3.47,87.14,160.8
200,1.37,90.82,300.98
240,2.71,90.82,222.09
120,3.64,17.35,244.44
280,2.83,30.2,134.32
120,0.44,68.78,217.25
200,3.72,52.24,309.15
240,0.2,57.76,144.92
240,1.66,11.84,160.05
200,2.42,54.08,306.14
200,0.0,74.29,255.33
240,3.52,100.0,226.83
240,1.05,37.55,157.95
120,0.16,13.67,181.7
160,1.09,26.53,237.71
120,1.74,87.14,259.4
160,2.99,43.06,287.31
200,3.56,92.65,331.01
200,1.86,96.33,315.17
280,1.54,19.18,100.79
280,1.33,63.27,118.53
120,3.92,83.47,274.7
280,3.8,94.49,161.39
200,1.21,37.55,270.09
280,0.28,39.39,77.89
240,0.73,54.08,157.71
200,3.15,61.43,319.43
200,0.04,83.47,261.34
280,1.62,50.41,118.48
200,3.6,37.55,302.85
200,0.0,13.67,224.62
120,0.85,68.78,228.37
280,3.11,17.35,129.46
280,3.07,66.94,154.99
280,3.03,48.57,145.99
200,3.19,81.63,328.72
200,3.52,21.02,295.04
240,2.87,90.82,225.16
120,3.8,63.27,265.77
200,0.32,70.61,262.71
120,1.86,17.35,227.84
120,1.9,28.37,233.99
280,1.21,96.33,131.34
200,0.16,26.53,236.38
120,3.43,59.59,267.53
160,1.33,50.41,255.73
160,1.01,81.63,262.61
120,2.42,85.31,274.08
160,3.23,92.65,310.17
280,2.99,28.37,136.31
160,2.18,57.76,278.71
280,0.69,61.43,100.61
160,3.68,68.78,293.77
240,2.14,94.49,212.67
120,2.71,68.78,271.03
200,3.96,15.51,288.22
120,1.54,32.04,227.52
240,3.6,61.43,206.8
280,3.07,43.06,142.46
240,3.84,96.33,221.63
200,0.28,54.08,253.59
240,0.65,30.2,143.78
160,3.27,21.02,273.66
200,0.69,22.86,249.03
200,3.11,79.8,328.66
280,3.84,11.84,119.34
280,2.51,48.57,136.81
160,2.18,46.73,273.3
240,0.97,85.31,180.31
280,1.94,81.63,141.77
160,3.76,30.2,273.5
240,0.0,72.45,145.97
120,4.0,35.71,249.98
280,1.78,92.65,143.5
120,3.76,65.1,267.16
200,0.73,61.43,269.39
240,0.93,15.51,144.21
240,4.0,11.84,177.9
160,0.61,96.33,259.5
160,2.75,77.96,300.53
160,2.42,88.98,299.51
240,2.46,81.63,212.53
240,0.0,83.47,151.94
240,3.88,30.2,188.12
240,3.68,85.31,218.12
240,1.01,94.49,185.35
200,1.45,33.88,274.24
160,0.93,32.04,236.45
120,1.13,17.35,210.05
120,1.49,70.61,245.91
200,2.51,48.57,304.89
160,1.78,10.0,246.13
200,0.89,87.14,286.99
280,3.8,90.82,159.34
120,0.73,50.41,216.19
200,2.83,41.22,307.6
240,0.61,13.67,134.44
240,2.42,44.9,193.11
280,1.98,54.08,128.61
240,1.94,81.63,201.92
240,1.21,72.45,179.24
280,0.2,61.43,86.68
120,0.4,15.51,189.33
200,1.25,59.59,282.42
160,2.51,61.43,287.38
280,1.9,76.12,137.85
120,0.2,57.76,205.06
280,0.57,96.33,114.79
120,3.68,50.41,260.68
160,3.72,100.0,309.03
120,1.62,94.49,260.4
240,3.76,32.04,190.52
120,1.33,61.43,237.13
280,3.07,100.0,170.91
120,2.14,13.67,231.85
120,0.81,77.96,232.13
200,2.95,43.06,310.6
280,2.67,87.14,159.47
160,3.35,63.27,294.13
280,3.23,61.43,150.68
240,2.51,11.84,178.64
240,3.35,52.24,204.49
120,2.55,79.8,273.44
240,1.66,37.55,172.78
200,2.22,70.61,309.82
160,3.03,54.08,292.85
280,1.45,59.59,119.43
200,2.67,11.84,289.22
120,3.88,50.41,258.2
200,0.16,100.0,273.03
240,2.91,77.96,219.53
200,3.39,13.67,292.69
280,2.51,65.1,144.74
280,1.58,13.67,99.44
280,3.8,30.2,129.2
280,1.45,48.57,113.62
160,0.36,35.71,222.48
280,2.91,59.59,150.13
280,2.18,72.45,142.22
200,3.64,11.84,289.67
240,0.16,66.94,148.39
120,2.14,15.51,232.9
160,2.22,11.84,256.8
280,3.35,15.51,126.25
280,1.01,26.53,91.58
280,1.49,15.51,97.91
120,0.89,35.71,212.42
120,2.26,54.08,254.76
120,2.83,37.55,258.0
160,2.46,55.92,283.84
120,2.99,15.51,250.16
160,3.52,74.29,297.92
120,1.78,72.45,253.24
120,0.08,37.55,191.5
240,1.25,92.65,190.77
160,3.07,98.16,314.35
240,2.75,96.33,225.59
120,3.35,90.82,284.02
280,2.75,85.31,160.25
280,1.54,30.2,106.47
120,2.67,92.65,282.09
240,4.0,55.92,200.19
200,1.82,76.12,304.19
160,1.94,81.63,285.32
160,2.14,15.51,256.75
120,2.46,43.06,253.51
200,3.92,68.78,315.32
200,2.22,74.29,311.88
280,4.0,43.06,133.04
280,1.33,68.78,120.84
280,3.88,13.67,120.3
200,3.72,59.59,312.43
280,3.03,54.08,148.46
200,1.7,39.39,282.75
120,0.85,54.08,220.84
160,0.44,41.22,227.63
120,2.91,28.37,254.59
280,2.91,41.22,141.07
280,1.7,15.51,102.92
120,1.45,41.22,230.21
280,3.11,85.31,163.69
280,1.7,92.65,141.79
120,1.17,66.94,236.02
120,0.85,55.92,221.63
280,3.31,81.63,159.46
240,0.4,50.41,146.81
200,2.71,54.08,311.48
120,3.03,26.53,255.22
280,2.1,52.24,130.34
160,1.94,52.24,270.74
160,3.23,76.12,301.67
240,3.8,21.02,184.71
160,1.13,22.86,236.52
160,1.62,43.06,258.91
200,3.56,52.24,310.98
280,2.46,32.04,127.46
120,1.37,10.0,212.29
120,1.94,61.43,251.27
200,0.81,44.9,263.17
160,0.89,11.84,225.14
120,0.28,94.49,225.61
240,0.2,17.35,124.69
240,1.98,59.59,191.18
200,3.15,46.73,311.85
160,1.37,19.18,241.06
280,3.03,98.16,170.55
160,1.9,52.24,269.88
120,3.92,13.67,239.66
240,0.89,87.14,179.01
280,0.24,24.69,69.63
280,3.6,79.8,155.95
120,0.16,21.02,185.56
120,2.22,35.71,244.49
160,0.69,28.37,227.98
240,3.07,68.78,215.59
160,4.0,70.61,291.28
160,0.04,13.67,201.9
160,0.16,96.33,246.8
280,0.53,17.35,73.88
240,1.94,66.94,194.13
160,2.63,41.22,279.51
240,1.98,68.78,195.92
120,2.87,21.02,249.96
160,1.66,43.06,259.34
120,2.3,72.45,264.59
160,1.25,65.1,260.83
240,2.75,41.22,198.11
200,1.33,66.94,288.12
280,3.27,90.82,164.56
280,2.51,35.71,130.62
120,1.29,77.96,244.05
120,3.47,96.33,285.22
240,3.31,48.57,202.97
160,1.29,30.2,244.44
120,2.3,54.08,255.39
120,3.31,81.63,279.98
120,2.1,94.49,271.42
280,3.64,68.78,150.15
280,3.68,26.53,128.57
160,2.95,15.51,272.86
280,2.79,50.41,143.51
