Concentration,Temperature,Doping (mol%),Response
47.9,195.1,0,2.23
257.3,154.13,9,1.42
20.17,266.98,3,4.35
207.08,239.99,6,8.13
250.49,237.19,0,3.37
265.47,217.93,6,11.32
369.25,223.54,9,6.48
278.34,150.21,9,1.21
382.26,228.51,6,10.88
118.18,277.18,0,2.5
307.69,277.25,6,4.69
203.04,198.46,0,2.25
105.8,211.91,9,7.08
118.18,277.18,6,3.98
183.3,175.35,6,3.72
388.63,204,9,6.64
6.77,276.76,9,4.09
107.79,178.64,9,3.59
316.01,267.24,6,6.52
218.77,291.3,3,3.94
356.75,155.48,3,1.29
149.3,254.42,0,4.03
139.01,244.47,3,5.13
88.18,250.18,3,4.76
58.07,174.09,9,2.95
389.76,184.88,6,5.64
346.43,185.93,0,1.89
157.91,244.55,9,5.48
189.85,248.4,0,3.86
264.74,263.25,6,5.69
389.76,184.88,0,1.86
394.93,271.79,3,4.21
290.44,171.29,0,1.54
380.56,258.55,0,3.56
314.95,256.33,3,4.67
259.13,152.33,3,1.24
331.9,216.04,0,2.84
271.86,225.43,0,3.04
308.12,172.62,9,2.78
258.58,162.61,3,1.29
268.5,156.93,9,1.68
192.36,204.14,9,6.85
352.03,262.76,6,5.96
115.74,255.12,9,5.41
267.69,294.52,3,3.75
354.89,156.16,0,0.96
152.18,188.73,9,4.77
141.34,184.67,0,1.99
198.58,289.16,6,4.96
80.06,240.7,0,3.62
9.48,255.2,3,4.79
111.97,172.62,6,4.25
304.09,199.72,6,9.82
6.48,263.08,3,4.57
90.41,151.95,3,0.93
46.76,202.53,6,9.79
66.15,232.22,9,5.97
155.68,178.43,0,1.65
394.75,154.83,0,0.9
313.96,286.01,0,2.39
358.89,163.38,0,1.35
159.04,187.52,3,1.86
228.97,171.64,9,2.87
386.81,182.79,3,1.55
30.06,218.84,6,11.18
235.34,256.55,3,4.69
184.22,280.06,0,2.57
103.25,285.8,9,3.03
299.94,298.42,3,3.92
244.09,289.51,6,5.3
336.85,186.63,0,2.06
255.04,164.71,9,2.01
23.11,270.18,6,5.65
242.07,168.49,9,2.45
307.69,277.25,0,2.64
65.12,238.54,3,5.51
349.37,244.9,0,3.54
167.51,216.81,0,2.86
52.52,271.3,9,4.71
359.21,256.24,6,7.09
154.1,264.79,9,4.84
98.67,282.16,6,5.06
190.74,281.92,3,4.28
81.05,190.07,3,1.74
234.64,259.95,0,3.58
217.7,193.9,3,2.35
205.59,163.38,9,2.19
220.76,188.66,6,7.64
363.67,240.27,3,5.44
101.79,270.51,3,4.3
203.91,194.75,9,5.58
216.52,241.26,0,3.57
207.48,186.84,3,1.9
385.2,232.64,6,9.85
194.35,256.73,0,3.63
157.55,252.25,0,3.87
303.06,153.43,9,1.29
113.51,237.47,9,5.94
43.19,202.74,9,6.34
26.9,213.93,3,4.73
29.04,256.31,9,5.14
398.85,234.67,6,10.37
308.39,156.58,0,0.99
399.89,187.19,0,1.85
319.13,253.51,6,6.64
41.01,179.79,3,1.78
6.75,153.85,9,1.56
113.82,273.74,3,4.5
373.17,180.09,3,1.59
126.22,262.9,9,4.83
124,283.56,9,3.15
333.31,268.71,9,4.53
385.17,258.13,0,3.53
265.96,264.3,6,5.65
14.12,283.28,6,4.99
270.59,285.45,6,6.08
40.71,196.5,6,8.65
99.02,193,3,2.18
167.84,172.97,0,1.65
153.26,216.88,0,2.98
128.02,178.29,0,1.7
164.27,235.86,9,5.88
235.03,190.15,3,1.82
86.7,260.24,0,3.53
273.2,176.12,0,1.78
63.17,253.23,9,5.47
240.24,266.26,0,3.32
103.25,246.86,0,3.81
310.58,280.27,6,4.85
173.11,185.49,3,1.87
240.64,258.62,6,6.42
243.91,153.36,9,1.31
234.77,216.11,3,4.91
200.88,209.39,6,10.84
138.37,244.27,0,3.52
248.03,202.95,6,10.57
153.56,202.25,0,2.49
161.81,185.19,3,1.67
70.8,192.16,0,2.25
381.28,224.8,9,6.38
237.42,168.53,3,1.4
319.32,169.33,0,1.5
386.65,152.31,9,1.38
144.17,214.91,3,4.83
185.7,207.1,3,4.12
26.96,175.56,9,3.17
298.42,182.36,6,5.09
381.62,187.82,0,2.12
121.31,246.57,3,5.06
386.25,152.38,6,1.74
293.78,181.89,3,1.82
147.1,271.72,6,5.85
248.37,233.55,0,3.37
391.99,278.16,6,5.36
17.56,167.11,3,1.36
10.55,186.07,6,6.77
0.95,281.81,9,3.59
171.58,202,3,3.48
78.57,228.11,3,5.81
88.19,226.76,0,3.13
349.88,223.54,0,2.98
332.61,269.68,3,4.21
308.93,188.45,0,1.99
260.04,263.25,9,4.94
11.91,289.58,9,2.5
120.07,154.27,9,1.43
220.34,228.79,6,9.68
69.4,234.64,3,5.72
29.28,254.56,6,7.05
161.66,253.16,0,3.84
32.42,229.28,6,11
18.74,154.35,3,1.14
4.85,272.7,6,4.99
385.06,171.92,6,3.47
164.48,239.97,3,5.54
242.5,268.22,0,3.12
267.23,212.61,6,12.01
19.27,157.2,3,1.21
246.09,271.09,6,6.34
338.96,222.04,3,5.47
272.88,272.61,3,4.23
41.5,274.59,9,4.11
247.81,215.81,3,4.96
391.02,195.94,9,5.69
308.06,161.71,3,1.48
255.02,156.09,0,1.05
254.47,287.13,6,5.25
116.95,195.85,3,2.58
25.94,285.1,6,5.74
365.22,298.5,3,4.04
264.77,239.14,3,5.51
197.01,166.32,6,1.77
346.12,183.54,3,1.61
228.41,228.02,9,6.08
234.31,175,0,1.62
215.74,158.33,6,1.7
148.45,194.42,3,2.44
312.37,285.17,9,2.94
282.3,286.85,9,2.79
296.7,232.78,9,6.09
75.18,188.52,9,4.89
206.52,171.43,6,3.61
344.29,158.89,6,1.06
398.46,213.56,3,5.01
199.02,166.25,9,2.14
63.8,196.82,3,2.88
130.77,283.63,0,2.34
387.28,236.7,0,3.53
346.83,169.05,0,1.58
116.52,158.61,9,1.76
96.48,272.77,0,2.71
88.04,206.73,3,4.11
86.42,269.55,6,6.48
295.18,261.06,3,4.6
314.01,274.03,0,3.01
128.83,194.89,0,2.41
389.92,243.43,0,3.75
217.26,219.68,9,6.64
295.43,265.98,9,5.06
366.2,221.3,6,10.88
256.33,269.48,6,5.87
54.55,189.36,6,7.67
276.91,220.46,0,3.05
283.51,207.33,3,4.25
171.86,288.46,0,2.36
159.73,264.58,6,5.46
9.03,297.9,3,3.71
49.72,200.29,0,2.37
102.23,227.88,9,6.24
142.15,282.93,0,2.54
308.22,286.99,9,2.8
336.04,226.84,3,5.94
180.89,208.06,0,2.61
173.39,206.43,3,3.92
15.03,176.34,3,1.74
315.17,219.26,9,6.84
244.73,248.52,3,4.94
105.99,191.25,9,5.1
307.72,272,0,2.93
344.51,255.61,9,5.26
286.46,257.29,6,6.82
295.03,224.59,0,2.95
245.32,192.1,3,2.29
384.87,182.5,0,1.86
324.05,168.98,6,1.8
219.69,172.41,6,3.21
76.21,213.17,9,6.97
236.51,207.15,6,11.07
228.47,268.43,9,4.95
257.9,228.56,3,5.73
371.1,227.25,0,3.12
89.07,253.93,3,4.73
134.24,181.07,3,1.7
292.8,150.14,6,1.81
205.6,189.92,0,2.1
292.8,150.14,0,0.87
315.45,286.15,6,5.05
237.18,228.02,0,3.17
96.73,252.88,9,5.46
242.31,196.36,0,2.29
388.71,159.73,6,0.78
239.72,180.54,9,3.85
130.06,216.6,9,6.81
366.93,219.75,0,3.12
129.21,213.18,3,4.63
138.03,235.99,3,5.53
24.82,287.47,3,4.13
301.35,181.31,0,1.75
315.85,186.07,9,4.37
375.33,244.02,3,5.2
331.55,247.7,6,7.88
384.87,182.5,6,5.42
379.25,173.88,9,2.89
295.15,184.46,9,4.29
396.72,282.3,6,4.83
152.25,266.96,6,5.62
322.68,178.36,3,1.84
8.38,276.97,6,5.51
364.95,207.92,9,7.08
53.79,195.38,9,5.6
50.82,170.59,6,2.99
310.21,210.23,6,11.32
156.7,279.89,3,4.12
233.35,182.43,6,5.57
182.43,151.68,0,0.8
354.39,223.12,0,3.01
291.4,280.2,0,2.62
54.14,289.58,6,5.06
40.31,175.91,6,3.92
109.3,235.37,6,10.48
150.36,273.82,0,2.86
133.96,202.74,0,2.59
181.52,247.28,6,7.46
114.62,170.17,6,2.87
287.52,173.39,9,2.95
372.38,251.9,0,3.73
304.06,259.1,3,4.63
346.92,230.47,0,3.13
254.57,240.91,0,3.66
20.73,199.09,6,10.11
337.67,248.47,0,3.8
74.29,238.17,3,5.48
282.74,155.18,6,-0.06
38.14,257.9,3,4.65
219.49,164.71,0,1.37
113.31,299.7,3,4.11
299.23,278.37,0,2.69
114.28,182.64,6,5.82
139.21,196.22,9,5.71
268.98,191.05,3,1.92
9.68,287.97,6,5.01
168.69,245.04,0,3.84
374.89,232.99,0,3.41
230.75,267.13,3,4.3
359.42,162.91,3,1.31
365.72,215.62,6,11.68
133.2,263.04,0,3.33
370.81,256.38,0,3.87
395.07,220.81,6,11.17
53.83,269.53,3,4.4
123.17,250.57,6,7.31
271.02,291.22,3,3.88
245.95,289.3,9,2.73
319.03,280.41,9,3.23
282.9,206.03,6,11.27
348.31,194.61,9,5.58
320.23,240.63,6,8.75
361.92,195.31,9,5.54
102.19,239.15,9,5.78
181.6,227.89,3,5.86
378.58,174.24,3,1.77
249.32,155.67,6,1.43
266.01,216.6,6,11.48
350.71,203.72,6,11.34
211.07,217.01,3,5.14
69.32,172.2,0,1.54
23.14,227.04,6,10.96
357.02,174.31,3,1.46
115.18,241.17,3,5.45
156.68,234.39,9,5.69
27.58,289.86,0,2.12
51.66,187.75,6,6.53
279.81,239.71,9,5.75
258.07,277.04,9,4.03
151.9,234.72,3,5.75
32.95,235.16,6,9.1
373.25,286.92,6,5.41
302.74,223.61,9,6.34
71.7,199.82,3,3.06
263.48,243.01,0,3.6
311.65,205.82,9,6.88
188,165.61,3,1.44
253.24,224.52,9,6.38
26.63,206.05,3,3.89
230.79,280.49,3,4.31
108.38,209.88,3,4.49
386.42,156.6,3,1.11
341.99,205.08,3,3.94
170.43,271.37,6,5.25
283.5,265.49,0,3.48
74.82,198.25,0,2.39
374.19,238.09,3,5.44
271.21,229.98,0,3.18
27.13,233.13,6,9.59
271.4,236.52,3,5.48
231.32,164.86,3,1.38
2.42,280.69,9,3.35
382.96,251.55,9,5.47
61.8,232.32,3,5.66
390.8,191.12,3,1.99
27.07,284.82,9,3.15
301.37,212.12,9,7.24
283.6,200.43,9,6.3
194.97,214.5,6,10.83
28.04,249.12,3,4.91
304.65,161,6,1.73
257.5,210.37,9,7.35
34.77,195.52,0,2.45
170.2,244.2,6,7.5
41.64,211.84,6,11.82
260.67,236.42,6,8.87
248.65,191.04,9,4.98
38.59,275.15,9,4.08
114.82,231.87,6,10.29
105.81,241.05,9,5.7
375.08,200.92,9,5.89
143.8,168.77,0,1.41
100.92,275.39,3,4.18
237.14,220.31,3,5.34
267.65,222.7,9,6.57
69.35,196.92,0,2.43
288.01,204.49,0,2.53
64.3,231.52,0,3.36
203.04,198.46,6,8.91
354.39,223.12,6,10.79
338.58,204,6,10.22
337.95,176.33,6,4.43
304.98,203.65,6,10.43
212.54,171.08,6,2.62
178.4,219.96,6,11.42
321.21,257.01,0,3.6
380.5,206.24,9,6.85
305.78,196.52,3,2.6
228.8,258.95,3,4.6
224.4,257.01,9,5.21
371.88,157.84,6,1.33
188.83,210.02,6,11.44
377.78,185.87,3,2.05
172.52,251.45,3,4.82
279.26,185.02,6,6.58
89.86,292.12,3,3.99
304.12,272.42,6,5.43
259.29,278.91,3,4.24
191.67,255.12,0,3.69
288.83,282.67,3,4.12
335.29,227.51,3,5.88
22.83,248.96,0,4.17
159.13,171.46,3,1.51
3.33,191.27,3,1.98
265.41,278.3,9,3.77
74.11,199.44,9,5.98
11.51,189.01,6,6.93
258.99,256.17,6,7.54
71.21,208.97,0,2.56
52.87,283.79,3,4.17
283.78,256.93,3,4.43
393.15,194.54,9,5.51
60.76,191.25,0,2.05
18.3,233.62,6,8.84
377.62,220.88,6,12.11
388.17,214.29,9,7.27
330.02,285.66,6,4.98
242.85,271.26,3,4.31
398.53,283.91,6,5.11
330.95,184.74,9,4.37
152.63,229.35,9,5.96
278.3,183.69,0,1.82
214.84,195.59,0,2.38
69.56,227.39,0,3.03
175.94,283.87,3,4.1
360.11,268.18,3,4.34
261.1,212.05,6,11.6
150.91,194.75,6,7.94
252.57,202.6,3,3.61
178.96,194.47,6,7.7
71.21,208.97,6,10.56
220.17,165.06,9,2.15
171.27,167.23,6,2
110.56,217.23,9,6.95
152.36,186.49,0,2.05
253.6,232.22,6,9.44
28.23,174.79,0,1.64
150.78,201.76,6,10.62
172.94,212.51,3,4.61
97.6,165.76,0,1.46
258.32,279.49,6,5.16
40.76,191.2,3,1.9
310.82,226.54,3,5.79
29.23,168.61,3,1.64
350.95,168.49,0,1.42
86.42,269.55,0,3.21
230.85,172.21,3,1.62
94.89,196.43,0,2.24
74.05,220.04,0,3.09
282.1,173.67,9,2.75
62.57,172.27,0,1.6
359.19,242.52,9,5.58
173.09,157.5,3,1.05
100.97,194.05,6,8.97
158.91,204.14,6,11.01
371.23,278.72,0,2.65
225.94,210.09,0,2.65
14.94,170.38,0,1.46
294.61,189.92,3,1.79
96.96,198.53,6,9.77
8.51,223.47,6,11.53
388.56,245.95,0,3.82
268.44,252.8,3,4.71
67.62,193.84,9,5.38
60.64,175.96,3,1.44
227.81,263.32,9,5.02
202.34,281.11,0,2.52
302.02,279.98,0,2.74
287.98,168.35,9,2.42
88.94,201.1,3,3.19
79.3,207.64,9,7.15
110.73,245.11,0,3.66
238.79,262.41,9,5
134.32,177.66,9,3.38
234.73,184.04,9,4.32
240.36,267.51,3,4.37
37.47,165.55,6,2.33
2.3,198.39,9,6.18
341.75,246.09,6,7.31
381.99,197.34,9,5.93
168.54,224.52,6,10.56
215.47,193.91,9,5.49
238.09,238.62,3,5.62
106.37,253.18,3,4.7
158.68,254,9,5.35
191.41,265.86,3,4.34
68.73,299.47,3,4.12
281.43,179.48,9,3.74
236.36,161.84,6,1.19
320.61,272.91,0,3.02
130.77,283.63,6,4.2
147.41,236.49,6,10.08
73.37,193.28,9,5.44
1.75,156.3,3,1.08
302.02,279.98,6,5.62
386.12,266.91,3,4.53
48.55,270.53,0,2.95
186.08,263.46,0,3.34
298.99,193.91,0,2.2
122.8,190.76,9,5.15
290.82,181.37,3,1.79
93.48,262.62,6,6.28
112.13,283.72,3,3.94
368.34,237.4,0,3.52
250.25,197.48,9,5.86
98.14,217.37,6,11.38
27.4,286.22,9,2.99
301.71,171.99,3,1.61
354.77,279.42,6,5.43
330.43,265.35,0,3.33
17.62,222.14,9,6.61
50.03,191.11,9,5.11
28.5,275.92,6,5.66
269.8,257.78,9,5.12
371.75,197.9,0,2.21
267.15,236.22,3,5.54
234.65,281.69,3,4.26
265.42,206.59,9,6.99
376.2,279.14,3,4.14
67.19,179.55,9,3.6
311.08,153.5,9,1.4
222.71,197.97,0,2.41
122.92,256.94,0,3.81
313.46,189.99,0,2.27
149.85,174.37,0,1.56
260.08,269.69,6,5.04
44.48,181.8,6,5.04
10.14,171.85,0,1.64
338.64,223.05,9,6.59
118.09,274.94,9,4.06
346.92,230.47,6,9.62
204.26,194.12,9,5.55
125.74,157.14,6,1.11
64.93,206.87,9,7.09
103.77,213.59,6,11.66
285.05,177.99,3,1.72
84.73,169.54,9,2.38
254.88,274.87,6,5.56
195.86,290.1,3,4.11
282.92,201.41,9,6.41
148.81,177.45,6,3.59
263.55,252.18,6,7.57
158.53,281.02,3,4.23
394.66,180.89,0,1.82
233.36,205.05,6,11.08
189.67,173.67,6,3.62
154.04,167.58,6,2.75
114.62,170.17,0,1.53
48.23,222.35,0,3.07
107.7,194.68,0,2.11
359.19,254.53,3,4.7
318.5,210.93,3,4.71
349.47,224.24,6,11.15
379.59,289.42,3,4.04
9.6,290.25,3,3.96
311.98,157.7,9,1.69
10.15,211.21,0,2.73
70.98,177.1,6,5.11
328.5,203.86,6,11.38
348.47,175.49,9,3.02
290.1,237.82,9,5.71
37.59,169.82,0,1.37
325.49,279.06,3,4.22
51.22,191.18,6,8.12
286.46,257.29,0,3.67
267.32,238.59,9,5.77
67.89,219.11,3,5.08
357.64,174.16,3,1.48
381.46,234.95,9,5.86
102.38,213.94,9,6.93
71.16,163.17,9,2.08
312.95,252.88,0,3.9
286.33,245.67,6,8.03
107.93,285.24,9,3.07
300.96,266.12,9,4.96
236.09,219.54,6,10.82
83.67,167.33,3,1.45
225.56,295.65,3,3.96
226.44,211.63,9,7.06
174.86,236.91,9,5.86
348.27,230.97,3,6.03
228.22,288.6,9,2.45
13.96,233.67,3,5.82
155.62,156.51,9,1.63
299.22,208.27,9,7.05
103.93,260.08,3,4.59
150.36,273.82,6,5.3
23.27,270.04,6,5.23
271.85,268.41,3,4.27
393.46,217.09,9,6.94
247.42,210.3,9,7.41
327.21,158.82,0,1.01
238.58,164.15,9,2.14
211.98,258.8,3,4.61
44.19,224.73,6,11.3
8.51,223.47,0,3.17
339.68,220.53,6,11.41
263.48,243.01,6,7.79
3.25,262.13,9,5.05
243.17,158.96,9,1.65
233.28,277.74,9,3.71
99.49,247.84,6,7.28
390.91,261.66,3,4.36
317.1,239.5,9,5.85
155.42,254.21,6,6.24
192.2,239.22,6,9.5
19.24,277.95,9,3.97
312.81,265.42,6,6.46
367.94,207.78,0,2.78
306.15,263.61,3,4.45
65.08,169.88,3,1.37
162.84,150,3,1.05
64.55,258.88,3,4.75
93.48,262.62,0,3.4
42.64,218.77,6,10.73
34.2,212.96,0,2.69
215.92,276.83,9,4.03
97.36,212.88,3,4.81
20.09,151.05,3,0.85
156.61,284.33,0,2.41
110.75,193.21,6,8.58
343.82,246.37,9,5.51
176.83,217.58,9,6.77
209.03,150.6,3,0.97
274.56,185.3,9,4.5
357.07,213.38,0,2.79
341.2,167.44,0,1.45
304.98,227.96,3,5.95
80.99,283.42,0,2.51
136.16,152.38,9,1.08
397.66,263.18,0,3.37
203.42,269.13,9,4.68
138.44,267.66,0,3.16
163.76,175.44,3,1.53
126.25,159.08,3,1.14
86.27,252.11,6,7.89
132.05,177.94,9,3.44
116.58,231.79,3,5.89
197.22,178.78,9,3.5
378.7,252.95,3,4.59
30.93,151.47,9,1.36
141.96,248.82,3,4.84
262.07,196.67,3,2.89
16.1,256.48,3,4.69
287.84,154.69,9,1.8
391.79,284.05,9,3.07
394.48,184.95,0,1.81
167.84,172.97,6,3.58
56.9,270.46,0,3.03
380.09,219.89,6,10.86
226.29,230.05,0,3.21
20.25,255.8,3,4.79
181.82,183.76,6,4.99
1.85,207.5,0,2.77
238.74,216.71,3,5.11
313.72,167.65,9,2.33
397.51,227.6,9,6.2
298.61,228.16,9,6.14
136.12,257.57,9,5.31
116.91,281.6,9,3.33
21.9,207.29,6,10.99
248.97,164.71,3,1.28
135.26,180.68,9,3.87
368.75,153.85,6,1.74
391.41,181.14,3,1.59
272.2,235.23,0,3.44
40.55,234.88,9,5.77
94.89,196.43,6,8.72
175.06,182.42,3,1.66
322.14,163.45,9,2.05
30.82,285.8,0,2.38
12.15,251.83,0,3.97
2.48,258.27,9,5.16
52.28,271.44,0,3.02
304.65,161,0,1.23
181.9,250.15,6,7.64
136.16,233.14,3,5.75
38.67,264.02,6,6.03
220.01,277.53,9,3.92
356,169.61,0,1.5
165.13,199.86,9,6.1
197.17,235.79,9,5.99
93.44,225.01,0,3.12
22.24,239.67,3,5.46
48.08,253.72,0,3.78
86.08,272.63,6,5.66
282.18,195.32,3,2.56
303.3,227.53,0,3.03
345.77,216.03,3,5.21
173.54,241.47,3,5.53
315.67,195.38,0,2.24
187.46,182.01,0,1.76
193.57,175.63,9,3.29
15.37,274.66,6,4.49
323.81,228.65,6,9.7
295.16,172.76,6,2.62
105.79,209.67,9,7.23
168.69,245.04,6,8.33
391.29,292.35,3,4.16
53.39,288.95,0,2.34
64.77,278.01,3,4.25
295.63,236.89,3,5.68
97.21,223.26,9,6.52
291.84,156.02,6,1.71
389.84,170.03,9,2.66
273.2,176.12,6,4.43
100.97,194.05,0,2.33
292.15,276.34,9,3.99
13.28,240.21,6,8.22
251.58,176.75,6,3.03
134.15,290.32,3,3.89
32.87,277.04,6,4.92
268.17,289.87,3,4.13
98.94,187.61,6,6.59
74.47,251.06,9,5.33
54.73,219.82,0,3.01
271.01,217.83,3,5.11
197.01,258.5,3,4.53
144.15,255.33,9,5.25
89.84,208.13,6,10.37
29.09,291.52,3,3.92
225.13,276.2,9,4.1
256.93,285.03,6,5.31
170.47,234.74,6,8.87
35.95,267.43,3,4.34
33.92,275.71,0,2.7
241.21,257.36,9,5.11
64.32,164.64,6,3.8
300.25,177.17,0,1.81
382.2,159.73,9,1.77
60.42,235.51,0,3.45
66.99,240.77,0,3.72
193.81,193.63,0,2.34
85.19,189.29,6,8.26
301.82,177.94,0,1.86
196.64,238.03,6,9.27
254.97,171.22,0,1.6
163.76,213.94,6,12.13
248.37,233.55,6,9.81
216.25,171.15,6,3.29
1.91,160.72,9,1.96
368.35,193.07,6,8.24
377.48,169.06,3,1.32
280.99,239.71,6,8.76
200.51,233.52,3,5.84
246,168.21,0,1.34
271.85,166.58,3,1.23
308.65,170.04,3,1.36
166.6,158.03,3,1.22
318.11,200.92,6,10.13
263.46,242,3,5.28
167.57,208.48,0,2.68
24.54,269.83,6,5.45
100.86,240.63,9,5.75
234.64,259.95,6,6.78
117.63,263.46,3,4.39
278.52,222.49,6,11.72
129.44,234.25,0,3.42
96.16,172.74,3,1.6
140.37,179.97,6,5.38
254.56,157.07,6,1.07
58.55,268.57,0,2.94
260.57,215.97,6,11.65
188.14,245.32,9,5.65
171.98,240.8,3,5.23
320.69,241.54,6,8.59
18.79,217.02,0,2.92
218.4,214.36,9,6.92
326.92,257.75,3,4.58
336.77,288.6,6,4.91
279.32,272.77,9,4.4
90.91,254.49,6,6.69
148.38,178.21,3,1.71
307.8,198.18,0,2.42
348.58,158.05,0,1.11
72.39,235.37,9,5.84
128.46,206.65,3,4.31
148.69,171.84,3,1.48
36.63,219.68,0,2.91
18.09,154.06,6,1.43
136.53,265.78,3,4.36
147.11,161.21,6,1.02
396.53,164.11,3,1.27
8.99,214.78,6,10.58
353.83,240.12,3,5.35
279.09,253.51,9,5.33
143.55,189.08,9,4.91
87.49,265.26,3,4.47
245.7,261.5,9,4.99
68.93,191.81,6,7.37
105.71,187.59,3,1.95
346.2,197.55,6,9.88
158.5,227.46,0,3.2
271.64,195.31,0,2.25
242.4,265.48,3,4.13
74.44,288.67,0,2.16
397.19,183.27,6,5.55
272.6,199.65,6,10.55
345.85,208.48,9,6.98
199.65,248.47,9,5.66
205.97,200.43,3,3.17
152.64,213.31,9,7.08
283.62,197.06,9,5.73
312.08,218.7,9,6.62
29.52,183.34,0,1.96
242.57,164.29,6,1.14
378.95,218.63,9,6.65
191.45,178.36,9,3.65
157.17,263.11,9,5.08
362.03,169.33,9,2.51
361.74,239.44,3,5.37
40.95,207.43,9,7.02
126.87,287.41,9,2.68
20.29,180.05,9,3.85
329.11,234.53,9,5.61
84.13,263.53,3,4.28
53.71,166.21,3,1.33
48.25,192.3,6,8.19
386.05,249.8,6,6.54
198.5,181.59,3,1.85
114.98,187.89,3,1.72
210.56,242.17,6,7.97
189.86,228.09,9,6.15
22.52,182.08,6,5.1
118.52,224.94,0,3.07
108.78,268.71,3,4.23
262.7,187.97,3,1.71
154.69,162.4,0,1.38
135.97,268.01,9,4.73
345.81,220.18,9,6.73
59.47,209.11,6,11.22
390.91,183.48,9,4.15
197.9,251.62,9,5.58
250.27,297.45,3,4.01
384.98,159.8,6,1.52
260.35,262.83,0,3.2
10.17,156.86,6,1.27
346.81,244.55,0,3.66
133.73,182.78,9,4.21
289.37,229.14,6,10.37
370.64,190.41,0,2.19
350.35,176.04,3,1.45
344.27,224.59,9,6.53
153.31,200.08,9,5.99
342.01,174.99,3,1.51
138.78,207.92,6,10.76
19.75,216.25,9,6.84
306.48,286.92,9,2.85
207.91,247.56,0,3.92
88.9,191.32,9,5.07
33.75,220.11,9,6.54
256.94,162.12,9,1.92
245.14,254.49,9,5.27
24.06,263.53,0,3.18
24.11,256.45,6,7.36
387.23,205.98,3,3.98
200.11,267.28,3,4.46
142.92,284.61,9,3.1
26.14,222.7,0,3.04
320.69,241.54,0,3.66
322.48,193.28,6,8.47
36.3,180.4,9,3.83
200.61,169.26,0,1.52
47.91,210.93,9,7.26
46.43,173.32,0,1.53
108.86,219.47,0,2.91
246.39,282.79,6,4.69
54.24,177.03,9,3.48
348.49,247.84,9,5.53
216.65,214.92,0,2.86
64.67,169.43,3,1.56
307.07,243.01,9,5.43
175.8,269.34,6,5.75
219.04,241.89,6,9.24
375.98,205.12,9,6.82
301.7,178.51,3,1.54
2.55,231.8,6,10.17
139.3,189.85,0,2.06
157.24,165.9,0,1.25
266.59,194.95,3,2.51
258.23,288.37,3,4.04
208.07,153.38,3,1.01
300.99,258.35,3,4.63
339.98,273.96,3,4.26
237.38,269.01,3,4.34
350.98,228.23,6,10.29
332.25,292.05,3,3.99
390.35,242.73,6,8.46
86.7,260.24,6,6.59
88.07,229.35,6,10.41
348.71,242.59,6,8.42
278.69,176.68,6,3.78
137.24,265.63,9,4.73
170.17,198.39,0,2.47
175.59,171.71,0,1.53
60.07,275.36,0,2.6
329.03,221.3,9,6.75
137.54,165.83,9,2.18
237.18,246.58,0,4.05
73.36,151.05,6,1.13
291.58,270.06,3,4.28
64.45,194.4,9,5.57
242.5,268.22,6,5.78
364.95,245.25,0,3.81
129.3,169.19,9,2.25
299.98,209.6,0,2.63
394.4,181.24,6,5.35
152.78,277.39,6,4.55
388.46,247.4,3,4.98
153.74,181.97,3,1.58
37.56,250.92,0,4.07
202.82,210.41,3,4.5
365.3,169.12,0,1.47
109.63,180.77,3,1.73
133.05,198.53,9,5.9
277.58,199.9,3,3.15
298.42,182.36,0,1.8
20.67,182.87,3,1.52
102.71,256.8,6,7.26
107.51,229.14,9,5.96
281.95,182.57,3,1.84
28.98,238.59,6,8.27
321.53,206.35,3,3.87
239.72,296.47,3,3.91
135.05,159.31,0,1.17
15.77,220.95,6,10.72
11.7,231.17,0,3.21
59.97,204.28,6,9.76
110.2,278.51,9,3.76
84.86,183.27,9,4.15
30.45,229.49,0,3.28
221.06,228.71,3,6.04
28.2,196.97,3,2.64
192.51,283.19,3,3.97
126.12,222.77,0,3.12
374.69,162.47,0,1.21
360.97,241.77,3,5.34
283.09,165.76,3,1.45
23.53,159.38,9,1.85
163.96,287.34,0,2.34
221.98,207.57,9,7.02
84.8,158.25,3,1.01
53.53,153.83,3,1.06
225.69,262.48,3,4.55
204.23,233.22,3,6
278.87,259.85,3,4.5
37.71,274.31,9,4.25
121.85,152.52,0,0.91
221.35,198.92,3,2.98
281.46,173.6,0,1.58
55.91,200.85,0,2.43
31.77,261.85,6,7.22
318.92,204.21,6,10.84
100.9,279.91,0,2.54
29.02,235.16,9,5.95
330.54,284.69,3,4
151.14,277.71,3,4.25
289.73,180.82,9,3.77
114.04,196.85,0,2.41
256.35,191.39,6,7.52
245.57,275.15,0,2.72
352.35,231.03,6,11.1
4.4,216.18,0,2.75
132.11,262.41,3,4.59
221.67,215.9,0,2.93
199.3,214.71,9,7.12
322.25,183.76,9,4.18
122.4,165.2,9,2.27
72.17,168.63,9,2.48
214.96,207.71,6,10.78
236.14,281.39,6,4.59
235.11,287.62,6,4.76
376.27,288.32,0,2.23
8.85,234.18,6,9.63
245.37,185.72,0,2
25.42,155.81,0,0.95
46.88,202.9,3,3.6
39.37,290.47,3,3.97
150.59,186.14,0,2.03
218.68,260.59,6,5.91
64.27,196.71,6,9.81
204.45,154.28,3,1.08
53.2,293.92,3,3.98
194.72,283.21,9,3.26
325.59,271.02,0,3
51.24,278.58,0,2.54
