Concentration,Temperature,Dose(mol%),Response
171.81,92.11,12,49.94
143.62,349.37,1,16.88
99.24,356.95,12,34.62
81.12,42.15,0,3.66
162.27,107.26,12,47.97
192.03,130.77,3,157.65
183.54,305.75,1,23.2
102.04,132.63,0,4.42
102.74,149.67,12,35.78
177.06,300.47,0,9.56
56.78,194.4,0,2.76
85.93,105.11,12,31.01
174.17,241.8,12,49.45
115.96,207.48,0,5.98
116.83,237.08,12,38.95
167.52,311.0,12,48.39
163.14,296.66,0,8.74
188.18,341.91,12,49.91
165.6,27.05,1,21.25
80.59,178.96,3,77.82
73.32,392.43,12,28.47
168.13,194.45,0,9.31
162.36,180.71,3,129.3
117.27,399.17,3,96.43
44.78,120.51,0,2.38
31.92,46.35,3,44.39
127.78,253.6,3,100.49
142.31,355.65,0,8.01
74.02,94.3,12,29.29
151.68,215.36,12,47.1
162.53,215.21,0,9.35
38.48,394.26,3,54.99
48.64,41.69,0,2.19
160.52,120.97,0,8.51
109.83,198.18,12,37.6
195.19,315.45,1,24.69
129.96,52.03,1,16.01
183.63,90.61,0,9.59
107.64,82.57,3,98.14
142.48,347.31,1,18.16
150.71,123.17,1,19.45
101.25,378.58,0,5.17
43.47,276.76,3,61.27
187.74,235.41,12,49.93
69.65,56.07,12,27.81
106.5,264.41,0,5.25
152.9,62.48,0,9.0
66.15,301.62,12,25.9
101.86,236.45,0,5.16
148.44,82.34,3,119.53
58.44,251.58,1,2.78
151.85,21.34,0,8.25
32.88,47.84,1,2.2
49.86,231.31,3,69.14
76.56,224.77,12,29.7
131.19,277.58,0,7.53
195.19,284.92,12,50.9
128.21,216.51,3,100.11
47.76,246.0,1,2.34
102.13,342.01,0,4.46
153.43,267.1,0,8.5
117.71,357.55,12,39.69
175.4,393.47,3,144.82
129.88,129.53,12,43.1
177.15,147.1,3,147.05
56.6,146.83,12,25.04
111.23,198.2,3,93.28
118.85,288.03,12,39.72
113.86,370.1,3,96.83
165.86,216.0,1,21.09
174.0,295.6,12,49.18
92.5,338.58,1,7.87
117.18,106.7,12,39.8
79.54,369.95,12,29.48
173.21,158.54,12,49.71
153.08,239.72,0,8.75
188.01,83.77,12,50.54
65.71,80.52,0,3.12
122.0,278.41,3,97.79
87.77,386.01,1,7.56
149.22,5.75,0,8.06
51.35,212.54,1,2.77
29.46,193.88,0,1.3
44.17,71.04,12,23.23
196.5,193.47,12,50.69
140.73,348.71,1,17.54
103.79,83.15,3,93.95
77.26,8.07,12,29.99
60.46,358.21,3,71.68
143.97,263.8,0,7.6
49.07,240.26,0,1.78
44.52,147.09,3,56.74
50.74,2.2,0,1.92
81.64,271.64,3,81.61
180.92,360.7,1,22.8
62.21,219.81,3,74.08
175.93,149.0,0,9.38
160.87,327.68,1,20.23
143.97,252.31,12,46.74
156.4,284.1,12,47.85
156.49,10.26,1,19.79
162.79,322.42,12,49.44
98.62,265.41,3,92.58
132.15,66.3,0,7.22
170.15,246.05,0,9.37
172.42,120.4,12,48.91
143.88,110.73,1,17.49
125.68,57.68,12,42.22
177.24,165.65,3,148.66
77.79,373.16,12,29.71
107.64,40.32,12,37.41
46.01,376.18,3,59.74
140.21,210.56,1,16.93
97.49,49.11,12,33.92
184.85,16.78,1,22.72
105.54,347.39,1,10.87
67.9,122.75,12,27.92
178.9,171.98,0,9.76
27.01,41.71,12,19.82
197.81,50.65,12,50.81
152.64,86.27,3,123.22
112.72,349.18,1,11.82
157.63,375.19,0,8.84
30.6,112.37,1,2.45
40.41,276.38,1,2.48
198.25,336.77,3,167.06
31.83,143.39,1,2.15
115.26,355.57,12,39.37
161.31,164.41,3,127.7
66.76,221.54,1,4.93
91.53,60.67,1,7.73
109.65,154.48,12,38.16
136.36,311.94,3,105.99
109.22,134.24,0,5.42
145.81,65.41,1,18.97
137.67,140.25,3,110.14
78.84,150.18,12,29.13
44.17,339.69,1,2.68
114.91,256.69,0,6.1
52.14,250.65,12,24.14
106.5,333.97,3,97.84
27.63,111.65,12,20.85
60.02,136.24,0,2.36
194.57,330.02,3,163.51
69.38,175.66,0,3.42
197.02,246.31,12,50.96
38.66,268.85,3,58.3
71.22,22.55,3,76.56
159.73,210.07,1,19.11
120.07,245.36,3,100.48
112.98,263.51,1,12.04
28.33,273.69,3,42.4
136.71,337.33,0,7.79
182.58,382.6,3,154.38
107.2,105.19,12,37.51
92.41,44.25,1,8.49
146.51,123.49,12,45.66
169.8,35.06,3,138.47
96.17,65.08,0,4.6
190.63,320.03,1,23.67
120.16,66.81,3,98.93
116.31,250.36,3,97.14
66.23,53.05,12,27.16
56.17,10.6,3,68.17
89.87,120.55,1,7.14
119.55,294.61,0,6.65
72.36,248.33,12,28.3
97.05,167.64,12,33.6
56.78,227.3,12,24.93
155.0,281.26,12,47.24
103.7,34.2,3,91.55
111.84,221.08,0,5.78
95.12,61.02,1,8.26
112.28,54.73,1,12.03
128.48,253.05,3,104.34
120.86,70.61,1,13.42
66.67,52.26,0,2.84
97.31,138.54,3,93.65
198.51,183.27,1,24.43
141.78,349.61,12,46.26
81.99,214.84,3,84.17
42.25,358.84,1,2.64
39.97,6.64,3,54.14
77.35,113.71,0,3.86
146.25,130.08,1,18.87
59.14,396.2,3,67.96
134.34,246.66,1,15.47
73.5,350.66,3,77.89
69.12,80.19,0,2.71
57.57,277.0,0,2.51
77.35,76.92,3,78.43
99.85,270.88,12,35.94
118.76,93.44,1,13.27
195.36,176.08,3,164.11
123.57,269.15,0,5.99
150.36,195.54,3,120.08
102.65,117.7,12,36.35
71.84,333.66,0,3.1
79.71,147.57,3,79.62
195.1,283.07,3,162.41
52.93,164.41,0,1.93
42.68,64.65,1,3.12
198.42,193.69,12,51.05
171.46,322.37,1,21.36
38.48,394.26,1,2.54
134.08,52.5,1,16.21
180.83,15.37,3,146.02
178.46,276.42,0,9.53
199.39,244.09,3,169.77
116.48,281.82,0,5.46
114.21,283.38,12,38.9
117.53,180.24,12,40.35
140.3,292.64,1,17.33
183.28,69.64,1,22.3
116.66,9.76,3,94.18
164.02,171.28,1,20.6
97.66,89.84,3,88.0
63.52,33.94,1,4.61
45.57,378.9,12,22.14
106.77,68.67,1,10.8
152.81,117.52,12,47.96
188.36,165.27,0,10.08
107.82,54.75,1,10.03
42.33,218.66,0,1.68
35.42,215.74,3,53.09
70.17,146.04,12,28.34
196.59,47.33,3,164.48
26.05,362.57,0,1.29
25.7,196.97,12,20.25
78.23,201.37,3,76.25
196.15,373.25,1,25.17
140.12,257.43,1,16.79
59.4,57.04,0,2.35
141.87,331.11,12,45.14
124.19,88.07,3,100.65
98.8,380.37,0,4.52
167.7,302.47,3,136.67
67.2,181.82,3,70.73
189.06,293.12,1,24.37
67.98,248.05,3,77.31
195.62,173.61,1,24.4
63.52,221.48,0,3.27
77.79,127.03,0,3.17
79.71,385.63,0,3.39
93.63,131.78,12,33.14
198.34,74.44,3,164.39
182.93,139.88,1,22.15
49.69,189.0,0,2.49
116.13,388.27,0,6.1
35.77,44.02,1,1.57
122.7,36.59,1,15.03
54.5,281.46,3,66.7
27.1,182.43,3,42.84
37.17,205.61,12,21.55
78.93,24.43,3,80.42
31.22,79.49,3,50.79
183.45,264.12,1,22.87
50.83,208.9,3,64.04
38.31,231.22,12,21.58
77.18,267.02,1,5.87
190.9,175.71,12,50.94
85.32,161.72,0,4.17
117.97,239.62,0,6.15
53.19,167.95,12,24.23
172.69,139.45,12,49.76
118.85,125.16,0,6.3
91.27,356.06,0,4.14
188.18,393.87,3,158.79
134.87,172.12,3,104.69
190.63,257.62,12,50.24
46.54,171.27,3,60.86
134.34,30.66,12,44.61
168.75,208.38,3,136.59
58.88,240.43,0,2.24
177.94,164.48,0,9.7
162.18,314.82,12,47.89
51.96,318.07,1,3.39
63.08,378.14,12,26.56
164.37,360.67,12,48.79
192.38,398.53,3,161.66
188.97,336.28,1,24.1
50.83,251.34,12,23.85
178.38,125.55,0,10.03
199.3,84.45,0,10.07
130.49,381.7,12,43.37
164.11,287.04,3,132.28
70.0,250.64,0,3.05
191.16,142.15,1,24.23
196.85,153.53,1,24.88
199.47,109.91,12,50.7
64.13,38.25,12,26.04
48.37,281.05,0,2.17
126.81,297.4,1,13.85
116.13,79.88,12,39.45
133.47,74.21,1,16.88
82.08,147.93,0,3.94
195.01,313.96,1,24.5
170.67,259.63,12,49.59
100.46,208.42,12,36.0
92.06,197.72,12,33.27
33.49,171.02,1,2.3
87.59,119.92,0,3.5
114.03,121.51,12,38.73
25.96,387.96,1,1.61
183.37,39.36,3,153.16
114.47,334.25,12,38.67
114.03,227.18,3,95.52
118.06,167.11,1,12.01
182.75,141.3,1,22.68
60.46,228.63,12,25.56
41.2,375.32,0,2.3
79.8,169.09,12,29.65
180.04,314.01,3,151.43
143.36,363.14,0,7.99
82.6,258.37,3,82.65
97.92,70.55,1,8.53
126.73,120.42,0,6.64
195.71,35.44,3,160.16
141.61,91.38,1,17.65
167.96,71.33,12,49.15
113.16,238.31,12,38.94
157.45,326.79,0,8.16
76.83,225.38,12,29.26
180.83,15.37,1,22.13
141.35,199.28,1,18.0
197.11,259.53,12,50.31
63.43,32.54,1,4.38
163.41,335.29,0,9.4
33.4,224.35,12,21.23
74.99,60.5,12,28.19
199.12,168.55,12,50.95
104.93,127.5,12,37.08
196.85,153.53,3,166.14
51.53,254.97,3,67.01
107.82,205.54,0,5.51
63.96,120.93,0,2.85
68.68,394.48,1,4.3
61.86,315.85,3,74.68
192.3,108.8,0,10.15
120.51,259.86,1,13.37
111.67,319.77,3,96.15
86.98,101.86,3,80.55
60.63,87.16,0,2.85
65.8,114.28,1,4.98
92.23,200.24,0,4.28
161.04,311.62,12,49.08
44.52,96.76,0,1.89
94.68,372.85,3,88.94
157.28,287.25,1,20.19
131.02,388.96,12,43.04
34.54,199.92,12,20.92
115.08,331.57,3,94.78
199.04,174.74,1,24.48
84.7,349.08,12,31.0
118.06,167.11,3,94.3
37.17,343.27,0,1.29
92.58,51.0,3,89.11
149.84,1.98,3,122.0
127.95,311.94,3,98.74
49.6,135.2,3,65.96
122.35,89.53,3,100.89
103.18,158.87,1,10.43
114.21,13.58,3,97.39
173.91,173.0,1,22.33
87.68,332.25,3,85.33
143.45,87.8,12,45.42
116.66,138.61,0,5.99
174.79,24.54,3,142.55
85.67,96.96,3,85.21
113.24,269.61,0,6.18
54.76,196.65,1,3.02
45.31,230.76,3,60.78
192.12,59.56,3,160.41
195.19,40.1,0,10.02
184.42,48.55,1,23.26
49.86,162.79,12,24.23
33.75,12.57,1,1.48
89.08,266.08,3,86.7
105.37,169.05,0,5.34
186.52,96.28,3,152.46
109.48,280.47,0,5.52
126.99,332.22,12,42.85
139.24,376.7,12,45.04
167.43,190.38,12,48.91
168.57,95.26,0,9.1
77.96,204.45,0,3.48
199.47,20.52,0,10.44
111.49,238.47,12,37.99
110.88,160.59,12,38.76
176.28,325.59,1,22.52
79.54,193.81,3,83.23
142.48,347.31,3,113.46
131.63,387.01,12,42.97
187.04,46.54,0,10.09
123.22,344.85,3,100.71
167.0,87.28,0,8.58
159.55,272.45,1,20.27
62.99,21.33,12,27.13
102.83,334.33,0,5.26
164.46,41.64,1,21.51
41.98,44.4,0,1.92
168.22,159.73,1,20.99
183.89,387.14,1,22.71
152.99,254.38,0,8.48
94.86,340.4,12,32.98
171.99,277.98,3,139.12
53.01,219.69,1,3.29
55.38,340.35,12,24.72
137.49,30.28,0,7.94
128.83,275.15,3,100.79
48.9,365.3,3,64.01
59.58,372.3,3,69.04
180.22,368.68,12,50.4
54.5,281.46,1,3.24
124.54,295.17,0,6.32
175.84,84.65,12,49.5
84.62,103.16,3,81.13
66.32,363.78,0,2.65
52.49,334.39,3,68.91
130.75,175.68,0,7.32
51.09,249.16,3,67.19
74.64,174.99,3,75.8
27.71,68.21,1,2.85
153.86,280.43,12,47.33
77.79,35.48,1,6.77
75.34,256.19,0,3.05
74.99,362.44,0,3.5
138.02,53.09,3,114.36
152.29,12.15,1,20.03
188.09,123.04,12,50.38
65.45,249.36,0,2.99
28.15,363.28,12,21.08
90.75,269.65,0,4.81
74.02,317.81,0,3.01
172.51,344.81,1,22.53
63.26,328.74,3,69.13
185.64,18.61,12,49.53
123.75,149.08,1,14.01
84.53,326.83,1,7.4
84.97,150.49,12,31.67
154.04,335.26,0,8.28
168.83,249.43,3,137.74
166.73,292.26,1,21.88
178.2,358.23,0,9.48
131.89,60.42,1,15.89
195.45,58.98,3,163.39
73.32,323.29,0,3.83
188.44,270.33,0,10.48
34.1,363.03,1,2.12
168.66,363.37,0,9.2
86.02,124.75,0,3.64
76.74,257.72,12,28.48
48.64,31.61,12,23.26
67.2,181.82,1,4.02
107.99,147.71,0,5.44
79.8,185.01,3,78.71
180.13,356.83,3,146.88
69.47,379.92,3,75.22
184.42,48.55,3,152.57
28.41,176.06,3,45.53
95.74,180.34,3,92.12
41.63,37.24,1,2.31
56.25,26.58,0,2.44
28.94,265.01,3,44.18
34.63,56.28,0,1.5
41.11,261.27,0,1.17
145.2,264.79,0,8.51
69.3,341.58,0,3.93
186.52,96.28,1,22.93
105.19,117.79,3,94.88
66.93,224.25,12,26.88
63.61,316.2,12,25.37
62.12,115.7,0,2.22
128.74,152.45,12,42.67
180.83,159.81,0,9.7
26.31,73.36,3,42.08
93.37,298.17,12,33.88
137.76,360.71,0,7.32
86.02,290.35,12,30.82
110.53,20.57,3,90.52
89.34,350.88,1,7.94
55.64,201.25,3,68.55
34.28,342.87,0,1.39
74.11,282.83,0,3.34
44.7,187.51,0,2.34
178.46,96.48,3,142.8
125.33,318.97,3,98.04
88.21,206.4,12,32.0
59.58,372.3,1,3.74
106.07,107.47,1,10.16
62.29,46.46,0,2.85
159.03,319.32,0,9.33
32.7,354.89,1,1.87
26.58,214.63,12,20.42
190.11,366.57,0,9.37
70.52,237.65,3,72.33
69.12,292.18,12,27.22
115.26,167.33,0,5.79
51.7,390.34,1,3.15
132.33,159.04,3,105.36
64.92,4.54,3,72.54
169.8,12.19,0,9.35
87.16,150.45,12,31.62
126.99,327.19,1,15.93
179.6,294.94,1,23.78
135.92,191.98,3,106.05
46.97,363.85,0,2.48
164.63,231.35,1,20.58
98.27,144.96,3,89.04
151.59,288.95,12,47.31
173.04,201.03,3,140.09
115.08,126.48,12,38.43
74.81,139.3,3,77.2
109.57,287.62,1,10.81
81.73,315.67,1,6.53
95.04,357.29,12,33.4
102.56,261.1,1,10.01
42.33,354.83,3,58.06
46.19,233.12,0,2.59
35.07,348.58,1,2.39
119.11,117.46,12,40.44
133.55,205.34,12,43.81
163.06,195.76,0,8.79
108.17,240.21,1,10.75
166.12,213.18,3,135.89
117.1,107.41,0,6.03
180.48,275.25,1,22.49
79.1,337.08,0,3.74
166.73,232.43,12,48.58
29.99,38.99,12,20.28
60.63,48.27,12,26.33
45.57,288.98,1,3.02
31.48,282.74,3,42.72
63.69,149.71,1,3.4
62.47,140.37,1,4.83
170.32,240.24,1,22.35
85.23,282.95,12,32.1
137.06,4.9,12,44.9
144.76,71.87,1,18.19
120.6,159.61,0,6.33
57.65,273.2,1,4.24
90.13,92.89,1,8.08
49.51,101.76,0,1.6
123.92,183.87,12,41.6
38.04,331.3,0,1.26
40.5,264.77,12,22.64
53.98,281.77,12,25.05
118.76,97.86,12,40.25
30.87,140.67,12,21.04
185.03,336.36,0,10.24
52.58,278.39,1,3.2
172.34,328.99,3,140.98
177.06,77.85,3,142.93
74.2,396.77,12,28.52
168.92,304.23,0,9.02
96.09,49.87,1,9.38
180.57,175.04,1,22.78
108.34,285.73,0,5.66
167.78,212.41,12,48.79
112.11,36.63,3,95.31
124.1,32.42,1,14.92
116.4,354.39,3,96.9
41.28,348.48,0,1.41
93.28,277.58,1,8.35
187.39,366.56,12,51.68
47.41,374.46,1,3.42
168.05,37.51,0,9.35
99.24,200.88,3,90.3
155.62,90.91,3,122.49
176.1,24.72,0,9.72
111.84,108.86,3,95.3
39.88,102.92,12,22.33
71.22,276.16,12,28.37
100.55,137.61,12,35.45
178.38,172.5,12,51.09
142.05,303.49,0,7.73
106.68,217.8,0,5.69
147.56,26.9,0,8.26
153.78,311.64,0,8.46
58.18,319.35,0,2.57
52.14,202.96,0,2.13
170.94,64.27,0,9.53
29.64,357.93,3,47.49
144.15,84.26,3,114.94
39.71,16.31,3,55.04
130.75,109.45,1,14.8
46.71,251.94,12,23.68
110.18,317.1,12,38.16
67.63,112.39,1,4.33
107.73,95.24,12,36.73
198.25,170.45,0,9.88
91.45,315.44,1,8.35
152.55,270.61,1,19.97
44.26,263.05,3,64.35
70.79,143.49,0,3.03
110.36,104.91,3,91.53
75.69,167.24,12,28.89
25.61,346.47,3,44.1
155.7,204.92,12,47.71
99.15,398.75,3,96.43
129.79,257.71,12,43.01
47.41,153.71,12,23.74
95.12,61.02,3,88.24
170.5,20.1,0,9.45
41.2,263.99,1,2.87
190.2,98.67,3,159.04
147.39,41.0,12,46.8
136.01,158.08,12,44.04
87.94,9.44,0,4.19
171.29,19.85,0,9.63
184.94,387.4,3,155.76
53.01,363.04,0,2.39
199.74,195.9,12,51.71
71.92,358.35,12,28.24
142.66,306.79,12,45.82
86.81,240.17,12,32.69
107.82,199.8,12,38.12
109.04,33.12,1,11.37
155.09,141.97,0,9.01
96.96,133.4,3,94.9
71.05,84.28,0,3.27
100.38,181.32,1,8.52
167.17,70.12,1,22.29
121.65,397.96,3,101.14
55.55,4.05,0,2.25
76.91,138.27,1,6.13
125.5,340.23,3,103.55
161.74,312.21,3,124.89
187.83,310.58,3,155.56
112.19,366.93,3,99.5
94.77,226.05,1,8.81
52.31,197.42,0,2.3
86.19,309.17,0,4.44
130.23,8.85,1,15.45
53.28,111.97,3,70.89
57.74,28.48,3,73.33
114.38,118.94,1,11.85
145.9,156.43,1,18.4
35.86,113.74,12,21.46
59.23,165.05,3,70.78
30.69,217.08,3,49.95
106.59,31.38,0,5.13
79.54,363.98,0,4.06
158.24,285.9,12,47.41
79.45,148.19,3,84.26
73.94,39.65,12,28.98
172.51,225.36,12,49.95
69.73,353.39,0,3.23
138.89,398.87,0,7.3
173.65,187.94,12,49.83
178.55,390.35,3,147.57
115.7,135.95,3,94.57
68.77,279.26,1,5.47
158.33,40.39,0,9.22
180.39,126.16,3,145.75
36.38,166.96,1,1.53
89.61,175.65,3,89.51
198.86,302.82,12,50.72
76.39,51.55,3,77.08
92.15,350.71,3,91.14
143.01,395.06,3,110.23
51.96,45.54,0,2.38
140.3,371.76,12,45.4
58.27,47.27,1,3.41
67.37,39.94,12,27.28
139.16,283.62,1,17.51
71.49,317.15,12,27.87
102.21,7.88,1,9.41
99.5,299.98,3,90.61
121.04,74.58,1,12.49
127.95,28.38,12,42.67
37.43,198.9,3,50.22
42.68,169.02,0,2.1
102.13,46.4,12,35.22
138.63,150.19,0,7.21
155.18,278.19,1,19.18
163.76,3.33,12,48.07
120.86,268.98,0,6.76
121.74,69.56,3,96.88
166.12,149.82,0,9.08
120.34,270.91,12,40.8
148.17,322.27,3,119.69
129.88,299.86,1,15.43
93.28,103.74,12,32.7
58.35,343.02,0,2.21
138.19,275.79,3,111.18
128.39,136.75,1,15.7
27.54,261.67,0,1.39
32.53,291.84,1,2.59
64.66,138.91,0,2.59
46.45,371.33,1,2.58
127.34,215.72,12,42.86
170.32,203.94,0,9.22
33.05,304.31,3,48.01
74.46,118.12,0,3.21
82.34,39.4,12,30.62
159.38,51.87,0,9.27
100.03,15.57,0,4.9
184.24,190.94,0,9.51
50.65,144.08,1,3.4
142.31,103.07,3,112.78
199.12,291.8,1,25.02
58.44,366.65,0,2.6
144.06,364.95,3,113.69
197.55,332.68,1,23.17
174.35,256.33,3,143.69
104.49,103.77,3,94.73
186.78,367.6,12,50.4
78.05,18.74,0,3.36
185.91,371.23,1,23.36
147.82,130.66,0,8.1
72.8,31.06,0,2.83
193.26,247.84,1,23.64
145.99,264.04,12,46.42
44.61,4.96,0,1.75
116.4,295.15,0,6.28
191.68,298.29,1,23.95
42.25,358.84,3,58.17
58.97,300.25,3,71.56
127.95,265.69,0,6.42
152.38,66.94,0,9.02
169.71,228.45,12,48.65
30.95,65.88,0,2.02
197.99,149.89,0,10.34
99.24,225.63,0,4.72
142.05,272.09,1,17.69
149.49,130.18,12,46.76
30.6,112.37,3,48.78
175.14,91.55,12,49.9
132.77,247.35,12,43.49
39.97,168.36,12,22.88
126.99,196.44,0,6.27
81.9,83.55,0,3.5
28.59,198.07,3,45.64
120.6,243.09,3,100.05
115.7,227.21,12,39.47
63.87,375.45,12,26.75
152.03,269.91,0,8.0
153.16,207.25,12,47.55
161.48,360.01,1,20.6
43.82,274.14,12,23.22
110.79,133.7,3,97.03
113.59,377.62,1,13.01
147.21,100.36,12,46.14
27.1,167.52,0,0.62
192.03,130.77,1,23.44
56.95,17.5,0,2.89
180.3,244.64,12,50.69
141.43,222.15,1,18.48
41.28,326.89,1,2.75
172.95,102.78,12,49.82
71.31,213.67,12,27.02
180.22,382.13,3,148.6
39.97,6.64,1,2.05
155.97,378.83,12,49.51
93.55,138.28,1,8.6
135.57,384.58,12,44.42
85.06,74.9,12,31.31
126.55,2.17,12,42.82
149.57,59.34,3,116.02
155.0,146.58,1,20.51
123.75,149.08,3,99.47
93.11,288.01,1,8.2
42.16,290.38,3,56.02
39.27,214.31,3,53.49
47.41,374.46,3,65.15
40.5,257.15,0,1.87
127.25,2.55,3,102.81
59.49,136.32,1,4.55
81.38,19.27,0,3.42
70.0,269.3,12,27.33
193.7,263.8,0,10.25
52.4,385.06,3,67.88
137.58,155.13,0,7.39
123.92,289.37,3,100.3
148.79,212.47,3,115.84
58.88,70.98,3,73.37
193.96,375.41,0,10.32
55.82,263.48,1,3.98
124.27,273.3,1,14.03
25.26,99.82,0,1.42
155.79,241.38,3,126.87
170.85,83.4,1,21.25
121.12,311.83,1,13.97
158.59,389.23,0,8.69
66.41,356.46,3,76.27
47.06,340.45,1,3.83
155.35,169.33,0,8.09
32.0,81.6,12,20.88
67.02,251.76,3,73.6
176.1,203.77,1,22.05
151.15,255.82,12,46.46
98.1,167.57,1,9.05
40.67,55.01,3,61.86
164.46,41.64,3,134.27
122.52,237.18,1,13.87
95.47,294.58,1,8.41
129.96,52.03,3,106.3
107.64,82.57,1,11.68
129.18,26.94,3,103.22
195.01,47.45,12,50.04
99.59,83.96,3,90.49
84.18,37.04,12,31.24
131.89,372.56,12,43.73
187.22,338.61,3,157.06
32.62,255.02,1,2.3
87.42,148.7,0,3.7
72.97,208.12,3,77.69
197.46,9.68,3,166.65
61.42,272.59,12,26.37
166.47,122.94,12,48.99
72.01,98.94,3,75.68
157.72,115.13,12,47.89
176.89,354.64,1,21.6
34.98,261.72,0,1.9
183.02,54.85,12,50.68
31.39,292.05,12,19.49
105.02,220.82,3,93.41
179.86,46.63,0,9.55
42.95,3.68,3,56.64
177.76,155.59,12,50.25
157.19,134.11,0,9.04
67.55,190.6,12,27.33
26.14,210.79,12,19.46
57.3,27.74,1,3.33
38.13,113.47,12,22.82
46.01,198.23,12,23.26
60.37,128.02,3,69.49
174.87,312.3,1,21.1
82.43,46.79,12,30.36
73.59,382.05,0,3.44
105.37,52.56,12,36.04
38.04,111.46,3,54.59
124.54,198.06,3,97.4
169.62,331.02,0,9.43
165.33,368.46,12,48.79
54.06,5.76,3,67.27
194.75,30.82,3,162.94
115.43,40.55,0,5.71
90.92,0.21,12,32.39
68.33,196.93,0,3.24
163.32,1.83,12,48.55
118.58,114.9,3,98.64
154.65,48.08,3,121.91
79.28,214.23,12,30.6
196.67,157.16,0,10.74
98.36,304.4,0,5.5
113.16,339.68,1,12.2
143.53,87.31,12,45.89
170.85,335.67,0,9.57
76.39,51.55,1,5.47
197.46,9.68,1,24.92
150.19,232.38,0,8.41
39.18,298.75,12,22.16
136.62,328.56,0,7.84
66.85,387.72,1,6.33
94.77,248.94,0,4.06
141.78,389.92,1,17.87
194.13,224.26,3,161.2
196.94,314.33,12,50.74
152.73,383.46,12,46.44
71.14,109.36,3,76.09
182.4,69.01,0,9.5
197.46,231.96,12,50.94
105.63,194.37,12,36.45
86.63,308.06,0,4.15
192.47,147.32,1,24.34
157.19,119.38,12,47.78
166.56,269.9,12,49.5
128.83,348.52,12,42.95
66.06,385.29,1,4.41
42.42,311.95,1,2.0
38.57,96.82,3,53.06
197.29,133.8,3,164.9
176.63,159.84,12,50.7
130.93,170.47,1,14.91
145.11,105.85,0,8.4
168.75,187.23,0,8.96
150.36,195.54,1,19.97
89.78,89.18,12,33.53
198.34,33.98,12,50.72
193.26,313.32,0,10.0
93.81,233.36,1,8.75
90.92,138.08,0,4.3
183.45,276.8,0,9.54
51.44,216.25,1,3.43
98.62,301.71,0,4.4
135.74,28.98,3,104.91
122.96,85.76,0,7.02
78.4,15.72,1,6.5
99.41,262.65,0,4.74
63.43,9.71,12,25.21
152.81,157.55,3,120.54
148.52,44.77,1,19.47
68.68,163.03,0,3.11
194.31,270.59,1,25.61
107.47,260.57,3,95.69
106.33,103.16,3,93.89
97.14,214.96,3,89.51
113.24,99.87,3,98.34
60.28,330.58,3,70.44
129.61,348.61,3,104.2
184.77,360.53,12,50.67
199.74,382.65,3,167.68
126.29,25.6,0,6.78
51.44,205.07,0,2.08
177.06,77.85,1,21.89
119.98,272.04,0,6.41
72.62,35.44,0,3.96
74.72,190.55,12,28.95
152.46,275.81,1,20.14
36.99,292.6,0,2.19
142.22,261.65,0,8.33
123.4,262.1,1,14.79
140.91,312.78,0,8.04
71.05,128.15,12,28.75
49.77,37.59,3,62.32
118.58,270.41,0,6.43
101.08,141.22,0,5.39
158.07,32.85,12,47.46
82.95,86.3,0,4.02
100.9,72.77,1,9.55
161.83,381.37,12,48.02
42.77,359.42,1,3.11
196.41,254.47,3,166.52
140.03,180.93,3,110.84
50.21,114.62,1,3.06
98.36,232.24,3,93.05
42.42,152.16,0,2.02
76.48,51.22,3,80.49
117.88,322.84,12,39.28
172.77,242.5,3,141.34
179.86,157.79,1,23.0
59.84,300.35,3,69.89
25.88,8.23,1,1.61
118.23,106.96,0,6.29
196.32,168.5,3,170.6
117.62,30.23,0,5.79
130.23,8.85,3,104.01
171.11,179.62,0,9.46
88.47,265.63,12,32.9
65.97,190.22,0,3.07
199.91,211.98,0,10.71
63.17,154.2,0,2.69
27.01,20.9,0,1.14
180.65,101.87,1,22.6
81.03,119.22,0,4.27
71.92,339.86,3,74.68
149.49,16.63,3,116.9
134.78,274.23,3,109.5
52.49,334.39,1,3.83
163.76,54.58,1,21.33
65.27,47.01,3,76.87
179.6,294.94,3,151.94
109.22,49.19,12,38.14
40.41,294.48,12,22.56
142.57,267.18,12,45.37
92.5,338.58,3,86.67
46.62,386.66,3,60.59
112.81,292.89,3,94.8
83.3,98.38,3,82.14
73.94,248.12,3,76.61
172.51,344.81,3,142.89
119.55,314.54,1,13.01
125.76,334.81,3,96.24
68.77,108.26,12,27.48
91.97,383.17,0,4.66
156.75,249.05,0,8.23
52.4,280.9,0,2.39
160.78,240.64,1,20.56
98.71,398.4,12,35.35
128.56,372.81,3,99.43
37.52,120.35,3,53.89
116.22,45.32,0,5.88
115.08,331.57,1,11.77
50.48,112.27,0,2.45
170.59,198.79,1,21.42
193.35,106.37,0,9.62
121.3,23.14,1,14.04
25.35,62.41,3,41.85
115.87,316.58,12,38.88
188.27,141.96,0,9.76
31.48,351.83,0,1.41
49.6,58.53,12,23.89
70.52,277.01,0,3.17
76.83,72.75,1,6.2
51.18,34.14,1,3.35
26.93,374.73,0,1.94
85.58,3.97,0,3.99
41.46,315.38,0,1.72
118.06,249.46,0,6.03
74.72,361.66,1,4.73
156.4,191.67,3,123.3
128.3,385.2,3,102.74
68.16,75.25,1,4.5
167.61,180.15,1,21.83
103.61,170.09,0,5.11
173.47,10.32,3,139.47
