Concentration,Temperature,Dose (mol%),Response
70.39,161.42,7,69.13
122.34,221.07,7,56.84
202,92.42,7,54.41
73.63,79.48,7,50.65
258.99,144.08,7,69.9
122.8,82.29,7,50.87
395.99,108.18,7,59.52
348.96,240.88,7,60.72
128.37,248.31,7,64.07
249.4,105.93,7,59.38
121.61,115.72,7,62.55
289.07,142.17,7,68.82
136.46,60.34,7,46.34
329.82,183.03,7,64.12
377.58,70.92,7,48.05
326.53,177.96,7,65.54
37.11,153.54,7,70.09
309.95,60.12,7,46.49
211.95,50.78,7,46.17
144.76,216.57,7,57.41
363.28,156.02,7,69.1
352.21,196.09,7,60.64
147.98,115.05,7,62.48
349.87,115.61,7,63.45
229.08,42,7,47.41
38.68,91.75,7,54.52
258.94,103.23,7,58.66
139.99,131.7,7,67.54
19.49,114.14,7,62.65
93.31,183.48,7,65.05
266.88,88.03,7,52.13
328.38,107.5,7,59.35
381.29,154.89,7,69.65
286.08,175.71,7,65.77
324.99,248.99,7,65.23
396.84,222.2,7,57.32
371.51,57.53,7,46.5
69.1,206.22,7,59.25
118.99,202.39,7,58.87
153.26,164.68,7,69.17
197.42,226.36,7,57.32
149.29,204.3,7,58.87
36.92,140.37,7,69.67
82.3,171.55,7,67.91
308.97,113.02,7,61.88
46.79,219.83,7,57.15
1.86,229.4,7,57.6
213.17,189.67,7,62.9
308.14,176.84,7,67.08
42.8,141.05,7,69.13
160.38,112.12,7,62.02
200.89,184.15,7,64.05
292.36,181.45,7,64.35
20.37,80.83,7,50.91
134.81,237.51,7,59.98
128.94,56.52,7,46.15
211.5,232.78,7,58.46
174.43,65.63,7,46.87
147.11,148.59,7,70.44
77.32,51.9,7,46.82
180.66,87.36,7,52.25
1.12,235.14,7,58.96
274.24,149.26,7,70.9
271.25,48.75,7,46.89
87.12,183.82,7,64.01
386.58,201.26,7,59.05
237.13,31.87,7,50.67
263.72,203.96,7,58.7
308.55,234.24,7,59.25
88.77,203.18,7,59.4
230.05,66.2,7,47.32
49.62,82.18,7,51.67
153.07,97.04,7,55.08
165.73,151.18,7,69.74
275.31,206.1,7,58.41
56.75,201.6,7,59.01
308.17,245.16,7,63.05
231.93,201.71,7,59.61
112.43,192.37,7,62
79.76,38.62,7,48.84
15.9,165.25,7,69.26
235.94,108.85,7,60.22
251.58,84.09,7,51.88
262.12,83.08,7,50.31
372.64,34.45,7,50.53
199.09,207.68,7,57.83
387.89,198.56,7,60.2
257.95,68.11,7,48.16
132.28,137.11,7,68.27
231.45,215.45,7,57.49
202.64,34.79,7,50.48
183.44,214.32,7,56.88
130.42,62.37,7,46.73
35.19,26.01,7,54.68
171.67,106.49,7,60.15
381.83,236.83,7,59.74
28.28,124.27,7,66.37
262.1,119.77,7,63.99
121.37,76.1,7,48.27
210.96,80.49,7,49.96
59.82,190.68,7,62.43
114.81,57.64,7,46.27
29.55,187.87,7,63.73
21.32,247.86,7,63.96
213.26,178.08,7,65.39
367,124.39,7,65.81
158.7,238.86,7,59.9
228.07,112.46,7,61.69
83.32,216.91,7,57.59
366.7,112.23,7,62.07
219.04,136.54,7,68.58
125.16,230.08,7,57.94
272.41,227.38,7,57.08
294.87,211.28,7,57.65
43.02,62.14,7,47.37
14.01,193.16,7,60.88
219.37,177.85,7,64.77
97.52,225.91,7,57.12
328.73,125.29,7,65.75
344.92,168.17,7,68.66
315.6,45.26,7,46.74
334.91,143.75,7,69.75
214.54,209.37,7,58.21
116.72,35.02,7,50.24
108.08,182.58,7,65.99
322.25,238.41,7,59.6
124.32,76.78,7,49.7
398.02,230.75,7,58.37
105.36,31.42,7,50.79
208.11,193.05,7,61.61
256.42,97.71,7,56.19
175.56,50.21,7,46.61
271.62,38.06,7,48.84
169.73,131.25,7,68.48
168.41,204.19,7,59.2
141.41,133.17,7,68.56
82.71,44.92,7,47.6
44.94,228.84,7,57.94
232.65,91.63,7,54.13
383.31,221.86,7,56.69
222.41,27.36,7,54.44
5.61,72.95,7,48.27
377.15,175.26,7,65.72
90.44,57.42,7,45.16
43.51,203.85,7,59.19
159.28,73.51,7,48.98
275.54,193.95,7,61.87
82.68,214.66,7,56.44
399.3,102.33,7,57.24
42.79,28.83,7,52.51
126.1,126.86,7,66.12
236.61,132.6,7,67.99
216.48,49.42,7,46.37
309.69,113.81,7,63.11
197.18,62.03,7,46.22
39.6,88.37,7,52.02
275.53,244.93,7,62.71
34.81,106.94,7,59.24
317.97,158.6,7,69.37
37.67,63.72,7,46.14
23.45,96.14,7,55.5
244.77,41.88,7,48.51
152.56,159.5,7,69.55
64.41,65.86,7,46.78
117.66,34.68,7,50.34
159.43,30.74,7,50.87
96.76,78.01,7,48.8
389.17,42.78,7,47.48
265.51,109.53,7,61.34
131.08,151.51,7,70.08
185.25,162.66,7,69.01
137.1,181.9,7,65.15
133.38,160.07,7,70.08
106.78,243.58,7,61.78
202.19,81.62,7,49.46
214.44,217.36,7,56.73
262.19,45.49,7,47.08
339.56,141.61,7,69.59
259.48,204.64,7,59.51
62.59,110.88,7,61.09
237.48,163.22,7,69.83
348.68,207.9,7,59.37
115.41,84.77,7,52.15
336.92,64.28,7,46.2
345.19,216.46,7,57.28
135.5,245.05,7,62.26
328.05,246.96,7,63.87
31.9,246.4,7,63.79
347.29,207.45,7,58.74
178,92.98,7,53.67
388.71,142.06,7,69.02
4.61,52.69,7,46.34
81.2,121.69,7,64.84
201.16,183.59,7,64.18
308.59,246.62,7,63.72
74.94,60.46,7,47.05
285.11,74.3,7,48.55
222.69,238.29,7,59.52
301.7,126.19,7,65.94
112.69,60.01,7,46.42
204.77,73.74,7,48.46
275.64,101.31,7,57.5
258.95,66.98,7,47.21
131.93,89.04,7,53.13
351.99,130.92,7,67.69
318.82,45.71,7,46.62
259.09,118.98,7,64.44
94.7,95.24,7,55.69
339.07,230.53,7,57.07
358.94,158.94,7,68.8
153.21,128.78,7,66.71
218.63,239.19,7,60.36
391.82,207.12,7,58.51
391.56,58.65,7,46.06
146.95,203.06,7,59.8
7.53,77.23,7,49.48
114.86,170.76,7,67.01
395.11,169.63,7,68.01
345.86,67.77,7,47.44
191.4,204.53,7,59.07
388.99,37.16,7,49.16
181.74,39.52,7,48.46
135.22,152.19,7,70.17
97.38,146.67,7,70.11
206.32,65.3,7,47.06
20.47,236.72,7,60.29
101.06,103.79,7,58.86
240.9,155.68,7,69.46
0.37,180.44,7,64.88
58.06,48.86,7,46.21
220.97,120.9,7,64.51
55.6,41.1,7,48.83
143.94,185.84,7,63.25
215.96,174.81,7,66.84
371.53,164.12,7,67.63
46.35,204.41,7,58.34
327.39,173.8,7,67.25
291.04,244.37,7,62.57
193.97,107.05,7,58.84
207.68,166.82,7,67.52
112.75,205.09,7,58.84
301.52,118.2,7,63.18
193.06,26.46,7,53.82
274.55,216.12,7,57.78
323.43,169.97,7,67.18
123.12,57.08,7,45.78
151.81,58.09,7,46.77
12.53,111.89,7,61.69
373.87,95.8,7,55.29
202.56,174.47,7,67.35
368.28,118.42,7,63.1
212.48,39.86,7,48.22
165.44,157.14,7,69.87
356.1,61.69,7,46.7
185.18,146.45,7,70.46
284.07,116.85,7,63.86
103.6,129.11,7,66.46
3.2,234.8,7,59.31
386.33,127.09,7,66.72
157.7,235.48,7,58.03
52.76,105.25,7,59.01
33.14,49.54,7,46.41
193.14,140.71,7,69.3
53.57,43.12,7,47.51
76.7,131.93,7,68.37
329.61,96.7,7,56.14
166.47,83.42,7,51.4
356.24,241,7,60.68
293.4,92.53,7,54.01
191.52,47.29,7,47.41
34.5,210.49,7,58.05
204.73,131.82,7,68.24
127.52,71.49,7,48.37
241.99,36.14,7,49.11
355.56,133.28,7,67.44
143.62,130.24,7,66.67
190.6,42.9,7,48.1
109.02,72.5,7,48.29
232.19,227.94,7,58.47
71.64,79.03,7,49.61
390.52,137.89,7,69.76
331.61,102.21,7,57.89
66.14,140.26,7,68.73
23.56,235.37,7,59.77
270.69,170.42,7,66.68
158.46,75.65,7,49.06
186.71,139.58,7,69.1
171.81,45.37,7,47.28
52.48,69.23,7,46.4
207.78,90.4,7,53.54
367.2,192.15,7,61.17
196.73,217.47,7,56.87
253.19,169.18,7,68.28
38.41,210.61,7,57.86
131.1,180.89,7,64.11
194.63,119.32,7,63.5
54.3,137.22,7,67.74
101.32,162.54,7,68.64
217.19,180.33,7,65.24
326.18,101.76,7,57.6
223.29,41.32,7,48.09
249.8,240.77,7,60.79
59.11,184.94,7,64.07
5.79,72.72,7,48.4
7.05,96.92,7,55.36
265.93,182.35,7,64.77
80.2,116.96,7,63.53
224.33,229.63,7,58.42
190.79,94.56,7,55
184.37,58.43,7,46
235.24,177.29,7,66.44
394.45,213.31,7,57.27
97.57,238.74,7,59.96
41.83,35.24,7,50.51
101.2,29.95,7,52.48
365.19,228.28,7,57.33
88.83,242.12,7,60.6
338.05,40.08,7,47.68
343.94,171.21,7,66.78
376.58,167.05,7,68.37
153.95,144.2,7,69.86
120.65,233.68,7,58.46
38.28,206.33,7,58.35
279.58,192.71,7,62.11
145.15,43.8,7,47.1
62.27,108.52,7,59.88
338.91,57.98,7,46.19
19.4,153.43,7,70.08
110.21,210.04,7,57.74
26.05,238.07,7,59.05
362.31,135.31,7,68.42
79.78,114.59,7,62.63
225.71,121.46,7,63.83
7.36,64.51,7,46.17
48.13,243.36,7,61.73
375.26,89.61,7,53.98
220.76,244.6,7,62.25
24.55,237.06,7,59.54
232.37,228.05,7,58.29
279.09,204.75,7,59.17
179.65,201.49,7,59.75
168.02,135.98,7,68.24
183.58,76.89,7,48.81
306.78,67.55,7,46.73
284.39,175.15,7,66.33
374.89,62.82,7,46.45
371.95,155.34,7,70.12
307.67,223.21,7,57.42
89.32,188.09,7,62.34
120.36,118.87,7,63.63
310.11,149.15,7,70.55
215.78,133.73,7,67.71
150.73,233.9,7,58.8
103.57,231.2,7,58.53
266.02,241.67,7,61.1
124.63,156.35,7,69.51
233.45,62.26,7,46.36
90.8,139.36,7,69.49
282.69,61.13,7,46.95
54.06,196.2,7,61.17
312.27,176.95,7,65.36
102.37,220.17,7,56.07
8.03,44.13,7,46.13
348.34,26.69,7,53.72
229.88,241.33,7,60.78
145.87,44.58,7,47.62
72.78,98.39,7,56.86
305.14,54.6,7,46.84
338.05,161.31,7,70.18
127.66,225.13,7,56.76
65.62,128.44,7,66.35
245.91,102.66,7,57.51
351.06,54.38,7,45.83
344.09,122.02,7,65.42
86.87,124.61,7,65.49
221.6,234.47,7,58.58
281.7,40.87,7,48.58
269.12,127.54,7,66.65
295.13,231.77,7,58.23
187.52,87.13,7,52.85
211.49,138.91,7,68.85
48.01,195.86,7,60.56
47.23,184.49,7,64.5
148.4,157.37,7,70.1
239.89,88.14,7,52.05
129.21,40.98,7,48.22
45.91,220.4,7,57.14
48.05,85.11,7,53.21
359.48,50.55,7,45.42
132.44,108.4,7,60.42
400,115.5,7,63.1
210.79,218.71,7,56.88
242.79,133.95,7,68.07
348.34,71.37,7,48.21
187.74,61.92,7,45.89
62.53,147.24,7,69.78
244.4,58.99,7,46.52
50.85,166.37,7,67.73
302.73,187.31,7,63.93
210.33,28.15,7,52.87
56.65,234.13,7,59.22
353.88,107.39,7,60.68
175.52,134.18,7,68.2
395.76,47.06,7,47.08
254,74.86,7,48.38
347.96,89.83,7,52.75
175.61,133.5,7,68.21
321.29,81.95,7,50.71
394.29,93.43,7,53.78
37.9,188.99,7,62.6
372.23,155.79,7,69.45
206.34,226.14,7,57.47
395.26,122.25,7,64.01
300.79,25.34,7,54.3
193.51,154.21,7,69.73
287.08,162.32,7,69.24
305.3,77.9,7,49.33
62.89,61.47,7,46.35
261.99,25.68,7,55.66
178.62,50.33,7,46.48
174.97,178.75,7,65.74
367.66,86.91,7,52.83
305.68,51,7,46.62
375.63,29.73,7,51.94
139.1,86.34,7,51.99
374.32,52.58,7,45.44
149.08,128.1,7,66.73
366.49,152.41,7,71.03
162.16,40.65,7,49.44
357.47,158.83,7,70.44
234.49,222.65,7,57.78
154.16,223.1,7,57.55
285.86,136.88,7,68.1
35.24,120.34,7,64.56
20.91,75.43,7,49.89
232.79,121.8,7,65.12
168.96,146.11,7,69.8
237.83,183.7,7,64.27
295.26,184.72,7,63.77
131,230.42,7,58
215.48,90.73,7,52.88
165.44,223.66,7,57.26
101.45,246.06,7,63.37
72.09,101.43,7,57.49
301.64,74.41,7,48.75
82.89,233.79,7,59.15
345.44,67.66,7,47.82
15.58,220.96,7,57.18
55.59,135.64,7,69.44
236.36,160.97,7,69.39
161.16,60.68,7,46.75
307.54,220.74,7,56.42
225.36,75.09,7,48.65
391.75,153.76,7,69.18
357.81,61.24,7,46.75
107.49,56.97,7,46.09
316.98,104.8,7,58.95
364.93,208.24,7,57.75
326.69,193.27,7,62.2
267.68,73.06,7,48.29
141.25,87.58,7,52.63
167.07,92.2,7,54.54
288.89,245.39,7,63
158.12,66.76,7,47.76
117,191.47,7,62.15
188.78,180.67,7,64.44
280.85,95.35,7,55.28
56.78,225.24,7,57.85
191.68,207.34,7,58.64
185.25,186.29,7,63.97
102.24,50.89,7,46.99
241.24,149.94,7,70.57
280.55,216.8,7,56.65
279.35,173.91,7,66.69
240.29,147.12,7,70.04
88.38,32.77,7,50.61
342.18,69.57,7,47.82
36.96,90.51,7,53.64
315.17,28.04,7,53.1
107.04,49.09,7,46.96
227.56,196.87,7,61.1
333.45,41.55,7,47.36
83.56,85.67,7,52.08
166.93,118.31,7,63.03
359.83,150.95,7,69.35
24.77,34.9,7,49.97
342.61,157.93,7,70.81
312.19,176.5,7,65.94
315.44,228.16,7,57.78
302.5,178.53,7,65.85
21.87,153.65,7,69.9
86.8,66.08,7,46.66
205.04,207,7,58.57
61.53,154.55,7,69.63
33.36,142.51,7,69.23
256.87,142.96,7,69.41
125.16,161.76,7,69.32
349.23,176.61,7,66.05
330.54,248.65,7,65.23
273.98,101.88,7,57.85
243.1,66.31,7,46.9
8.56,34,7,51.05
234.17,28.38,7,53.71
17.88,207.23,7,58.21
331.46,84.43,7,51.06
389.39,231.43,7,58.68
95.09,31.53,7,51.29
370.46,97.15,7,55.56
91.72,59.33,7,45.7
35.64,107.84,7,59.85
141.42,95.57,7,55.58
176.8,26.13,7,53.64
82.32,117.41,7,64.23
13.21,145.1,7,69.93
324.64,63.16,7,45.97
349.34,30.63,7,52.41
112.82,190.57,7,62.56
230.13,37.27,7,49.3
142.67,64.62,7,46.87
383.69,52.13,7,46.24
338.36,49.31,7,45.84
288.9,199.12,7,60.98
110.27,152.98,7,70.12
266.35,116.28,7,63.25
0.35,175.04,7,66.62
275.61,222.31,7,57.59
53.7,84.2,7,51.57
322.78,51.45,7,45.9
28.85,97.82,7,55.89
334.36,193.72,7,61.16
274.88,85.33,7,50.91
45.65,193.83,7,61.04
120.81,93.21,7,54.09
288.24,160.86,7,69.53
92.53,147.91,7,70.69
241.1,243.47,7,62.31
192.2,32.09,7,51.19
177.71,186.07,7,63.28
166.44,35.69,7,50.25
346.17,101.99,7,57.46
183.48,56.85,7,46.44
265.36,148.92,7,69.66
74.19,65.75,7,46.87
192.47,179.65,7,65.73
211.8,156.47,7,69.89
228.69,122.36,7,65.52
1.47,179.09,7,65.15
301.61,37.72,7,48.81
359.11,30.07,7,52.54
324.32,39.41,7,48.35
208.41,48.3,7,47.22
240.51,31.19,7,51.79
345.14,86.68,7,51.73
354.02,32.99,7,50.82
36.28,152.75,7,70.5
75.88,243.02,7,62.2
242.36,45.94,7,46.92
107.5,40.76,7,47.56
244.91,128.21,7,66.6
388.45,116.62,7,63.52
172.72,40.2,7,48.26
151.25,34.34,7,49.54
373.27,197.32,7,60.42
134.21,86.23,7,52.36
371.94,205.2,7,59.04
36.14,137.67,7,69.58
98.51,43.91,7,47.48
70.15,53.25,7,46.34
303.24,75.54,7,48.62
369.44,154.1,7,70.08
152.79,123.6,7,65.69
357.86,161.08,7,68.73
335.74,36.26,7,49.13
218.64,246.51,7,64.18
343.29,109.98,7,61.91
104.34,165.7,7,68.28
167.61,36.82,7,49
68.83,74.19,7,48.37
331.24,33.67,7,50.96
60.07,226.7,7,56.85
368.41,159.95,7,69.53
211.4,130.35,7,67.09
290.33,218.03,7,57.21
220.36,213.53,7,57.29
59.56,208.02,7,58.1
217.02,112.79,7,60.96
359.3,138.34,7,67.83
123.43,69.01,7,47.6
310.35,51.79,7,46.19
34.59,193.61,7,62.15
161.86,55.39,7,47.31
69.04,170.09,7,68.34
51.6,38.51,7,48.09
300.93,206.44,7,59.17
48.98,102.78,7,57.87
372.85,53.36,7,46.2
15.24,187.53,7,62.98
98.05,248.87,7,64.6
195.16,35.92,7,50.03
342.92,29.05,7,51.97
30.2,188.77,7,62.92
282.79,213.19,7,56.82
102.56,75.76,7,48.88
239.17,107.62,7,59.53
240.63,166.6,7,68.75
108.83,223.55,7,56.8
349.61,25,7,54.4
19.13,245.72,7,63.78
234.38,152.3,7,69.28
127.38,153.09,7,70.31
230.11,34.57,7,49.51
276.28,169.3,7,67.79
9.02,103.11,7,58.09
349.92,239.53,7,60.31
115.71,144.76,7,69.47
333.1,113.69,7,61.69
335.33,212.41,7,57.85
26.13,168.4,7,68.28
343.89,203.51,7,59.18
53.44,191.58,7,62.18
233.9,70.81,7,47.49
224.3,219.61,7,57.06
271.09,170.31,7,68
276.62,174.92,7,66.4
18.03,37.04,7,48.99
247.11,104.46,7,58.81
37.98,171.1,7,67.43
99.39,120,7,63.88
290,32.32,7,50.9
324.21,122.92,7,65.51
73.56,176.39,7,65.35
246.35,50.44,7,46.01
83.36,41.66,7,47.85
57.37,150.28,7,69.03
230.4,67.32,7,47.34
253.11,223.77,7,57.33
148.49,156.92,7,69.04
301.21,230.64,7,58.38
369.15,192.26,7,61.75
148.19,205.88,7,58.82
60.16,167.27,7,67.71
381.16,26.35,7,54.99
58.66,75.88,7,49.25
327.48,106.72,7,60.26
90.13,54.04,7,46.29
147.5,126.3,7,65.54
188.31,69.12,7,48.08
199.81,129.23,7,66.76
105.08,131.03,7,68.17
241.11,217.13,7,57.86
308.14,205.43,7,58.55
211.61,77.11,7,48.81
49.87,167.16,7,68.91
22.31,159.84,7,69.79
110.46,134.85,7,68.61
15.96,81.73,7,50.31
361.23,110.21,7,61.83
351.41,233.12,7,58.81
363.05,124.72,7,65.51
332.86,109.3,7,59.76
139.54,86.01,7,52.09
91.88,163.56,7,69.47
167.12,105.48,7,59.02
109.22,225.46,7,57.71
104.8,178.98,7,65.28
220.2,157.25,7,69.36
50.74,143.07,7,69.6
337.96,67.21,7,47.53
102.99,102.1,7,57.98
399.14,195.75,7,60.11
266,65.52,7,46.28
318.71,135.87,7,68.37
219.2,115.16,7,62.46
155.11,109.75,7,60.86
280.22,143.52,7,69.5
35.26,136.21,7,68.03
197.64,195.64,7,60.89
200.35,191.36,7,61.94
60.13,230.87,7,57.58
115.09,191.81,7,62.94
114.3,216.01,7,57.53
157.15,218.48,7,57.25
232.71,126.64,7,65.9
216.4,34.23,7,50.6
393.12,160.29,7,69.01
28.68,118.65,7,64.48
44.44,168.96,7,68.57
239.72,102.55,7,58.33
345.36,196.42,7,60.12
8.66,31.75,7,51.85
34.92,40.31,7,48.15
186.96,156.69,7,70.71
197.14,132.04,7,68.49
3.46,225.8,7,57.11
15.86,119.66,7,63.55
265.18,165.02,7,68.99
102.4,82.07,7,50.84
273.6,224.79,7,57.03
86.61,64.39,7,46.75
294.23,68.78,7,48.13
340.9,142.28,7,69.31
294.94,127.65,7,66.44
264.59,120.22,7,64.49
257.94,239.08,7,59.94
340.48,78.8,7,49.09
94.57,189.56,7,61.65
207.14,198.22,7,60.02
305.81,181.23,7,64.45
9.33,98.72,7,56.3
12.99,44.7,7,46.83
152.79,157.7,7,70.06
203.62,29.61,7,52.49
49.04,107.28,7,60.05
106.81,35.47,7,50.13
34.19,242.46,7,61.85
282.13,164.01,7,68.93
199.82,125.51,7,67.17
196.87,176.16,7,66.04
330.85,151.4,7,69.77
329.4,158.38,7,69.83
222.29,181.57,7,65.94
369.36,244.82,7,61.9
52.22,81.5,7,50.1
268.96,63.38,7,46.4
397.17,162.09,7,68.54
271.24,28.49,7,52.29
148.94,165.36,7,68.77
278.96,173.24,7,66.72
62.96,229.96,7,57.66
366.3,133.39,7,66.82
190.11,44.36,7,46.24
398.06,182.13,7,64.88
202.82,163.11,7,67.77
294.18,169.41,7,67.39
146.95,129.68,7,67.73
314.61,80.6,7,50.02
109.18,134.29,7,67.96
184.48,151.85,7,70.1
9.05,143.18,7,69.06
122.63,91.41,7,54.45
361.33,111.44,7,62.6
68.26,100.19,7,57.84
293.51,51.68,7,47.17
142.65,109.42,7,60.57
168.63,248.2,7,64.79
351.52,209.25,7,57.71
143.09,158.49,7,69.86
161.8,189.44,7,61.97
254.89,184.38,7,64.06
314.76,208.8,7,58.46
141.14,132.15,7,66.5
389.77,164.46,7,68.69
169.8,146.9,7,70.1
20.73,37.49,7,49.89
288.41,197.55,7,61.2
239.41,89.27,7,52.79
207.28,159.73,7,68.59
55.98,160.52,7,69.23
70.81,127.2,7,67.04
300.37,133.62,7,68.23
111.87,144.98,7,69.11
382.85,176.28,7,66.4
73.61,178.41,7,65.3
126.89,224.56,7,57.41
197.56,126.53,7,66.36
22.57,213.76,7,58.16
25.12,122.7,7,65.51
382.38,109.64,7,60.03
374.16,107.73,7,59.95
210.47,76.44,7,49.58
229.21,55.05,7,46.09
358.05,33.78,7,50.53
188.97,212.07,7,57.71
238.44,75.31,7,48.74
311.3,69.8,7,47.33
9.42,45.15,7,47.52
163.64,144.31,7,70.05
86,220.51,7,56.95
161.8,225.58,7,57.24
0.51,179.43,7,65.44
261.33,92.31,7,54.53
317.91,32.2,7,51.35
213.32,174.25,7,67.01
6.88,125.18,7,66.52
359.16,240.66,7,60.24
233,236.16,7,59.19
162.89,56.63,7,46.36
373.77,29.39,7,52.15
135.79,194.62,7,60.9
203.58,101.54,7,57.54
317.21,231.09,7,57.93
366.49,186.63,7,63.55
337.49,136.99,7,68.21
26.36,202.5,7,59.58
253.38,110.09,7,61.24
273.74,46.84,7,47.02
133.5,130.47,7,68.15
239.16,76.66,7,48.63
143.57,103,7,57.9
133.58,112.57,7,61.09
193.94,228.5,7,58.05
372.91,205.99,7,59.01
300.27,108.97,7,60.81
219.14,71.71,7,48.81
259.55,151.96,7,70.32
42.58,119.88,7,63.87
343.37,192.48,7,61.87
229.22,94.67,7,55.52
74.09,38.17,7,49.21
79.07,72.27,7,48.02
362.95,239.64,7,60.95
203.63,136.09,7,68.36
327.61,93.32,7,53.99
300.22,240.43,7,60.96
31.03,35.36,7,49.36
42.9,122.47,7,65
373.09,195.07,7,61.38
363.85,240.32,7,60.26
245.77,111.78,7,61.21
334.49,81.39,7,49.33
276.28,172,7,67.35
172.43,177.51,7,66.08
274.26,26.58,7,53.47
309.73,69.91,7,47.72
161.17,57.3,7,46.13
328.59,147.01,7,69.63
350.45,162.43,7,68.96
88.68,221.52,7,57.34
283.77,104.69,7,59
75.1,209.14,7,57.73
18.65,235.82,7,59.89
311.3,104.58,7,59.37
374.44,122.81,7,64.46
164.77,43.23,7,47
179.67,127.76,7,65.53
47.44,202.95,7,59.75
307.18,54.26,7,45.24
159.69,63.04,7,47.14
75.78,236.27,7,59.71
155.48,143.97,7,70.5
192.8,83.3,7,50.99
26,180.1,7,65.01
49.75,141.27,7,69.4
29.41,113.47,7,61.85
39.29,221.75,7,56.85
329.01,112.68,7,61.49
57.02,168.62,7,67.59
265.48,163.78,7,69.48
397.95,189.22,7,63.3
135.79,247.64,7,64.66
349.25,83.98,7,52.1
28.9,27.81,7,53.62
54.87,65.41,7,46.47
134.17,172.11,7,67.32
282.44,176.05,7,66.26
301.89,214.88,7,57.88
175.5,63.61,7,47.03
235.52,73.85,7,49.72
44.53,78.58,7,49.62
27.65,49.76,7,46.62
116.21,129.56,7,67.55
375.24,166.48,7,69.19
376.79,205.32,7,59.25
210.7,140.82,7,69.38
101.93,243.81,7,61.98
363.45,35.81,7,50.12
366.44,140.48,7,69.15
183.84,147.46,7,69.44
284.5,151.29,7,69.08
277.83,204.08,7,58.53
309.43,175.6,7,66.76
184.49,105.37,7,59.53
115.76,236.94,7,59.03
275.21,139.13,7,68.68
239.96,42.56,7,47.95
219.3,152.08,7,69.7
166.7,218.82,7,57.45
215.72,249.21,7,64.68
349.04,115.83,7,62.71
355.65,90.62,7,53.22
17.82,106.15,7,59.02
13.55,164.79,7,68.4
198.32,174.14,7,66.93
300.35,212.97,7,58
294.77,170.2,7,67.26
394.44,80.15,7,50.07
376.81,88.26,7,52.9
289.67,156.8,7,70.77
112.94,154.33,7,70.35
212.29,117.18,7,64
313.81,82.97,7,50.8
367.56,96.59,7,55.7
160.9,190.46,7,62.92
119.18,226.25,7,56.86
212.67,197.89,7,59.97
215.17,157.82,7,69.16
102.24,115.95,7,62.33
377.27,38.39,7,48.57
162.78,110.32,7,60.26
313.02,215.67,7,57.8
340.6,148.7,7,69.69
124.01,120.45,7,64.82
239.07,38.73,7,48.94
361.48,100.08,7,56.15
268.38,239.31,7,60.6
171.23,96.81,7,55.86
132.65,66.87,7,47.08
282.66,55.5,7,46.19
106.34,99.17,7,57.51
126.66,132.27,7,67.09
146.84,119.55,7,63.77
87.07,124.5,7,66.29
354.75,30.52,7,52.85
34.97,182.92,7,64.76
16.9,217.7,7,57.4
75.52,138.57,7,69.09
197.24,125.63,7,66.95
208.7,114.03,7,62
183.2,165.58,7,68.69
226.54,249.77,7,64.89
93.53,25.56,7,55.74
3.05,139.92,7,68.93
396.5,219.16,7,57.19
312.04,54.94,7,46.07
111.86,202.28,7,59.38
17.37,230.98,7,57.52
116.61,75.2,7,49.34
128.3,139.81,7,69.05
163.01,148.25,7,68.45
244.56,121.24,7,64.6
286.07,226.59,7,57.78
120.09,59.55,7,46.74
207.62,182.02,7,64.4
279.46,199.8,7,60.74
295.49,60.57,7,46.78
111.25,42.11,7,48.48
303.5,157.59,7,69.25
363.54,164.91,7,68.82
38.77,89.94,7,53.15
261.99,30.97,7,51.86
247.92,233.45,7,58.6
129.14,108.74,7,60.59
288.32,120.79,7,65.41
156.39,183.37,7,63.89
384.31,153.88,7,70.46
247.49,159.62,7,69.54
198.81,78.24,7,50.04
257.23,136.32,7,68.92
315.82,98.84,7,56.77
31.68,70.25,7,48.07
140.12,82.85,7,50.16
266.09,61.36,7,46.98
123.91,27.48,7,54.56
10.23,104.01,7,58.24
194.84,29.28,7,52.13
94.65,128.55,7,66.39
72.93,120.11,7,64.48
7.21,227.26,7,57.94
22,71.15,7,48.76
207.53,130.58,7,66.81
84.56,85.78,7,50.74
59.74,112.34,7,61.04
163.89,238.97,7,60.29
357.17,146.56,7,70.29
113.17,163.33,7,69.56
144.34,52.91,7,45.97
5.5,187.76,7,62.87
41.46,155.23,7,69.46
331.6,115.27,7,62.52
193.57,221.3,7,57.33
31.55,80.38,7,50.69
322.77,42.67,7,46.05
378.38,135.19,7,68.24
177.35,123.04,7,64.58
343.76,175.94,7,66.77
250.01,95.69,7,55.04
67.85,104.13,7,58.91
317.69,234.35,7,58.77
183.52,89.38,7,52.39
116.26,239.42,7,60.04
315.57,27.25,7,54.66
152.06,39.63,7,48.71
83.68,179.88,7,64.99
263.9,172.34,7,67.41
176.76,245.95,7,63.18
247.62,131.37,7,67.46
207.41,137.33,7,69.02
44.37,245.5,7,63.28
142.19,46.72,7,46.51
350.69,156.58,7,69.29
182.99,138.68,7,69.43
248.4,244.48,7,62.03
183.56,211.96,7,57.89
350.44,93.55,7,55.01
304.43,45.6,7,46.46
42.95,59.22,7,45.67
2.09,81.17,7,50.59
50.35,216.23,7,57.71
45.84,217.81,7,57.11
167.3,212.52,7,58.19
62.71,229.06,7,57.77
69.35,83.53,7,50.6
291.65,247.75,7,63.65
