concentration(ppm),temperature,Dose(mol%),response
36.46,296.19,3,6.9
43.65,152.22,3,7.22
38.98,32.1,3,6.82
11.96,34.53,5,2.06
36.31,266.34,5,4.85
17.64,201.62,3,4.21
41.4,240.32,3,7.18
32.29,247.35,5,4.41
40.34,267.8,5,5.65
15.22,73.96,1,1.97
28.77,289.0,3,6.22
17.14,375.78,3,4.24
45.76,360.23,1,6.36
24.83,164.01,1,3.1
29.13,168.57,3,6.45
46.84,294.07,3,8.44
34.9,63.64,3,6.55
29.39,387.79,3,6.62
46.73,25.66,3,8.21
45.75,399.83,3,8.13
34.27,377.89,3,6.67
10.68,202.5,3,3.7
40.27,51.8,0,6.94
35.34,105.3,0,6.34
16.26,71.95,3,3.85
37.57,150.4,0,6.64
4.53,164.1,0,0.33
34.67,256.3,1,4.73
18.96,85.4,0,1.92
34.78,303.88,3,6.82
41.18,339.95,5,5.74
21.54,67.59,3,4.91
26.13,176.2,1,3.44
20.91,26.4,0,2.17
30.39,216.16,1,4.08
36.11,351.61,5,4.96
19.93,350.4,0,1.95
15.67,243.45,3,3.83
12.51,121.86,3,3.54
38.54,80.2,0,6.99
23.71,156.5,0,3.68
13.04,380.18,3,4.06
20.77,125.93,1,2.72
23.88,66.05,3,5.26
13.76,302.6,0,1.34
24.29,155.83,5,3.23
31.57,161.5,0,6.23
35.41,65.62,3,6.69
25.25,118.18,5,3.57
20.68,338.31,3,4.78
29.83,273.74,3,6.42
41.27,228.9,0,7.12
25.05,212.88,3,5.73
26.79,259.1,0,4.53
39.45,206.69,3,7.14
47.92,380.49,1,6.94
26.11,301.17,5,3.6
28.44,293.3,0,5.32
2.85,194.1,0,0.33
30.17,214.09,1,4.12
42.74,174.74,5,5.33
38.6,335.61,3,7.19
29.13,204.34,1,3.9
31.77,36.57,3,6.46
25.21,219.3,0,3.95
12.08,143.19,3,3.83
40.76,313.33,1,5.14
42.42,199.45,5,5.46
33.09,256.98,5,4.68
44.32,398.07,5,5.68
45.72,360.67,5,5.51
41.12,28.61,3,6.85
35.61,265.12,1,4.57
18.44,59.2,5,2.45
40.62,347.9,0,7.12
47.27,324.58,3,8.34
33.72,264.5,0,6.54
22.97,320.94,5,3.22
46.23,316.34,3,8.12
33.89,183.8,0,6.23
10.53,66.2,0,0.97
21.3,387.51,3,5.04
20.25,374.77,5,2.93
45.0,76.42,5,5.44
20.08,328.29,3,4.8
12.98,129.49,5,2.25
38.79,294.95,1,4.95
49.44,225.06,3,9.53
48.26,398.63,5,5.79
37.49,221.6,3,6.96
17.32,274.93,3,4.2
48.64,206.11,3,8.98
22.25,260.46,5,3.11
29.47,105.6,5,3.78
35.07,260.06,1,4.54
17.33,252.2,0,1.76
26.79,394.62,3,6.0
36.69,275.25,1,4.68
38.17,284.1,0,6.81
37.43,282.19,1,4.91
23.66,375.08,3,5.3
20.03,303.36,3,4.69
45.02,225.74,5,5.23
9.98,119.6,0,0.86
36.02,146.43,3,6.53
23.14,141.0,0,3.12
14.68,182.65,3,3.72
30.15,257.83,3,6.59
34.19,251.8,1,4.59
40.12,307.33,1,4.98
18.42,103.98,1,2.5
19.35,290.53,3,4.7
38.02,372.6,0,6.82
45.78,49.99,5,5.35
17.48,256.1,3,4.22
40.92,320.79,3,7.04
42.62,388.46,3,7.5
44.76,350.85,1,6.08
45.34,356.29,1,6.55
44.36,175.25,3,7.51
43.66,340.53,1,5.82
23.96,345.4,3,5.57
37.01,350.14,5,5.06
15.52,185.62,3,3.94
13.12,54.26,1,1.93
45.85,285.77,3,7.97
40.66,293.56,5,5.57
10.71,31.5,0,1.25
39.95,305.83,1,5.12
27.41,89.6,0,4.8
34.11,251.05,1,4.42
1.48,125.2,0,0.27
20.71,379.29,5,3.02
25.89,388.8,0,4.44
31.11,380.94,3,6.73
28.83,309.61,3,6.44
38.15,288.94,1,4.97
12.56,49.01,1,1.69
32.97,249.72,3,6.75
39.33,300.01,1,5.1
7.13,150.1,0,0.9
30.1,259.96,3,6.36
31.59,334.9,0,5.99
34.05,33.3,5,4.42
27.62,380.45,3,6.11
21.23,334.61,3,5.09
25.29,245.15,3,5.86
15.82,39.01,5,2.24
29.17,87.36,5,3.85
16.18,119.22,3,3.97
25.49,323.99,5,3.64
20.23,181.84,5,2.73
19.78,358.85,5,2.98
40.2,311.83,5,5.7
12.54,347.77,5,2.38
30.87,220.66,1,4.08
27.86,321.5,0,5.18
15.04,212.96,3,3.89
42.32,327.96,1,5.9
27.81,141.46,3,6.08
26.31,47.6,3,5.5
25.07,150.59,5,3.43
23.89,362.5,0,3.74
26.16,113.5,0,4.36
11.2,170.75,5,2.11
34.15,296.87,3,6.89
45.69,160.52,3,7.83
36.67,275.06,1,4.82
8.3,297.9,0,0.8
35.26,127.91,3,6.58
17.06,91.22,1,2.16
47.35,372.2,0,7.7
43.54,25.73,3,7.24
36.69,390.55,5,5.19
12.92,253.59,5,2.23
12.74,50.7,1,1.67
25.86,399.64,3,5.77
28.23,125.52,5,3.73
21.98,285.21,3,4.94
34.82,299.7,0,6.42
31.39,87.6,0,6.04
34.29,294.5,0,6.36
42.18,326.65,1,5.58
25.93,374.54,5,3.68
28.67,222.13,5,3.65
38.59,75.1,0,6.97
28.81,127.77,5,3.66
19.2,111.29,1,2.61
41.42,72.3,0,7.11
23.74,72.79,3,5.3
43.77,47.8,0,7.36
26.89,80.75,5,3.5
36.95,164.14,5,5.05
35.23,324.08,5,4.9
33.41,40.22,3,6.7
28.69,89.38,5,3.77
13.08,258.99,3,3.75
24.47,302.92,5,3.49
48.6,49.32,5,5.54
35.52,204.4,0,6.37
21.31,310.9,0,2.69
13.38,341.1,0,1.37
42.53,279.04,3,7.31
40.9,123.3,3,6.93
18.06,63.6,0,1.63
30.21,127.08,3,6.32
12.88,194.91,3,3.89
31.75,87.64,5,4.17
40.18,71.78,3,7.08
5.58,137.8,0,0.66
46.72,239.95,3,8.43
47.48,340.26,5,5.73
21.91,270.42,3,4.86
2.35,379.9,0,0.38
34.67,110.13,3,6.52
43.15,299.7,0,7.48
18.0,100.04,1,2.12
14.32,179.78,3,3.88
26.21,85.07,3,5.74
20.95,127.61,1,2.62
49.45,224.9,0,8.07
25.06,242.65,3,5.43
39.97,197.9,0,6.92
16.76,202.82,5,2.57
49.72,55.23,5,5.41
12.77,117.14,3,3.77
31.35,66.43,5,4.18
20.64,187.19,3,4.85
33.35,215.3,5,4.57
19.79,320.33,3,4.61
48.02,381.43,1,7.07
19.83,38.4,0,2.01
25.66,151.72,3,5.55
11.83,255.8,0,1.0
42.77,66.6,0,7.23
34.42,142.66,3,6.53
38.57,292.88,1,4.84
18.2,144.74,5,2.62
36.99,278.06,1,4.68
27.31,201.1,0,5.0
12.64,228.7,3,3.68
41.42,319.52,1,5.43
39.79,250.8,0,7.18
24.63,330.22,3,5.49
17.31,326.91,3,4.06
30.59,218.03,1,3.96
49.11,118.75,3,9.08
21.59,373.1,0,2.51
11.78,178.0,0,0.99
40.86,64.57,3,6.76
17.3,93.47,1,2.16
36.63,274.69,1,4.79
28.37,311.35,5,3.89
43.32,345.26,3,7.4
42.08,325.71,1,5.44
36.57,274.12,1,4.54
18.22,257.02,3,4.29
24.91,159.45,3,5.41
22.5,278.61,3,5.05
18.3,99.82,3,4.38
20.01,286.81,5,2.91
48.48,103.67,3,8.97
21.46,351.3,0,2.39
26.65,77.82,5,3.35
43.05,237.0,0,7.14
39.19,272.08,5,5.46
22.44,209.6,0,2.98
44.8,386.8,0,7.31
20.31,121.61,1,2.62
39.36,304.13,3,6.89
25.47,99.25,3,5.41
22.27,55.66,5,2.74
44.46,138.73,5,5.47
10.78,32.32,1,1.51
31.93,230.6,1,4.2
16.38,306.88,3,4.18
28.03,177.71,3,6.14
48.21,183.32,3,8.9
39.94,245.8,0,7.15
10.68,387.11,5,2.45
0.65,137.4,0,0.23
23.69,153.31,1,2.93
23.78,32.42,3,5.05
12.08,100.6,0,1.32
20.51,123.49,1,2.4
45.97,263.38,3,8.2
19.4,113.17,1,2.41
11.02,34.57,1,1.47
48.77,48.45,3,9.02
37.67,73.6,0,6.75
43.74,341.28,1,5.89
43.76,137.39,3,7.42
29.01,49.16,3,6.32
27.51,83.56,5,3.75
34.95,103.76,3,6.51
23.69,243.9,0,3.66
42.78,397.18,5,5.88
12.12,178.89,5,2.42
17.03,398.18,3,4.22
28.75,367.86,5,4.12
28.29,284.1,0,5.22
6.35,99.3,0,0.78
12.93,247.58,3,3.87
35.19,243.24,5,4.79
43.9,307.4,0,7.36
15.1,72.84,1,1.91
34.25,86.36,5,4.42
47.79,327.27,3,8.56
36.15,270.19,1,4.61
29.51,123.35,5,3.68
49.58,396.06,1,7.32
17.51,80.8,0,1.58
23.41,150.69,1,3.14
47.07,175.3,0,7.63
41.89,377.96,3,7.29
41.07,244.3,0,7.23
14.0,62.52,1,1.88
36.45,164.35,3,6.93
49.58,352.27,5,5.61
30.73,255.69,3,6.59
32.99,350.24,5,4.52
1.18,231.6,0,0.03
26.69,191.7,0,4.87
12.41,179.8,0,1.4
44.88,375.0,3,7.81
32.37,270.26,3,6.57
38.47,373.7,0,6.71
0.73,89.3,0,0.15
22.02,214.56,3,4.89
40.62,325.5,3,7.26
10.96,326.5,0,0.95
13.95,214.8,3,3.66
22.31,370.33,5,3.23
10.76,132.87,3,3.8
26.65,181.08,1,3.4
29.31,158.38,5,4.03
27.29,175.29,5,3.58
42.6,330.59,1,5.73
44.52,397.4,0,7.53
18.1,100.98,1,2.35
15.53,290.7,0,1.57
17.52,341.83,5,2.82
13.93,215.86,3,3.97
1.5,198.0,0,0.03
50.0,170.1,0,8.0
18.64,231.24,3,4.18
28.27,145.58,3,5.95
22.75,144.5,1,2.92
29.11,361.3,0,5.49
43.9,162.83,5,5.43
34.19,398.92,5,5.01
44.64,258.96,5,5.5
19.08,371.9,3,4.42
15.79,194.31,3,3.78
38.19,88.5,0,6.9
36.67,191.7,0,6.56
29.86,148.04,3,6.29
20.83,110.38,3,4.47
35.1,295.98,3,6.74
31.47,31.7,5,3.91
46.24,364.73,1,6.57
35.88,81.25,3,6.67
0.5,383.0,0,0.22
28.91,150.3,0,5.64
48.42,247.2,0,8.01
25.75,361.77,3,6.03
28.34,330.95,3,6.2
47.76,378.99,1,6.98
48.38,384.8,1,7.08
18.35,155.48,3,4.31
30.14,356.4,0,6.0
32.26,43.76,3,6.37
38.17,79.77,3,6.65
4.25,66.7,0,0.23
44.7,106.49,3,7.52
48.32,295.78,5,5.56
11.12,138.88,3,3.59
22.63,143.37,1,3.05
29.67,53.18,5,3.81
40.45,227.47,3,7.02
48.49,46.38,3,8.84
23.65,152.94,1,2.99
15.58,95.11,3,3.86
13.32,145.29,5,2.34
11.66,40.57,1,1.53
41.44,143.39,3,6.99
31.55,227.04,1,4.11
32.57,164.76,5,4.34
13.91,206.11,3,3.62
40.16,225.1,5,5.55
30.09,45.03,3,6.39
30.79,143.23,5,4.18
28.89,202.09,1,4.02
31.79,389.97,3,6.81
47.4,273.0,0,7.57
24.46,293.7,0,3.95
32.29,233.98,1,4.24
19.62,115.23,1,2.36
30.85,248.0,3,6.45
17.94,185.87,5,2.72
24.51,352.4,0,3.81
36.4,348.63,3,6.98
35.12,385.58,3,6.78
15.84,106.06,3,3.82
10.41,364.2,0,0.93
26.69,211.89,5,3.6
36.11,269.81,1,4.52
43.4,331.54,5,5.66
40.41,293.19,3,7.27
2.68,377.9,0,0.46
32.42,168.6,0,6.36
34.22,117.0,0,6.28
14.97,201.06,3,3.9
30.17,299.9,0,6.13
44.48,384.77,3,7.94
43.08,160.05,5,5.37
17.5,95.35,1,2.15
46.06,363.04,1,6.44
17.2,92.53,1,2.24
33.79,350.65,3,6.88
16.16,82.78,1,2.13
22.61,292.51,5,3.0
34.27,311.8,0,6.37
28.41,197.59,1,3.87
39.21,298.89,1,4.91
24.23,248.36,5,3.32
33.17,351.94,5,4.73
19.23,336.0,0,2.11
31.51,185.41,5,4.17
18.26,102.48,1,2.44
2.18,155.0,0,0.03
35.15,209.35,5,4.8
22.64,93.7,0,2.93
16.64,30.4,5,2.34
15.94,80.72,1,2.08
30.55,176.68,3,6.33
31.11,222.91,1,4.04
14.29,350.45,3,3.77
37.09,117.2,3,6.86
23.24,55.74,3,4.99
34.29,252.74,1,4.4
21.15,35.79,5,2.65
31.75,228.91,1,4.2
3.65,91.3,0,0.38
36.85,276.75,1,4.73
39.13,201.96,3,7.05
11.47,337.33,3,3.78
10.92,33.63,1,1.46
11.6,348.66,5,2.36
24.39,193.02,3,5.6
39.69,39.52,3,6.66
48.25,224.13,3,8.99
34.29,285.13,5,4.69
26.31,177.89,1,3.3
39.43,300.95,1,4.88
25.53,225.52,3,5.89
19.66,260.33,5,2.79
29.34,166.15,3,6.44
19.12,29.26,5,2.47
29.69,298.07,5,4.09
48.37,376.4,0,7.95
20.97,127.8,1,2.68
46.42,318.0,0,7.62
24.69,159.56,5,3.39
40.58,311.64,1,5.09
36.97,277.88,1,4.56
3.45,356.4,0,0.49
19.91,219.0,0,2.14
39.47,62.1,0,7.07
41.86,73.15,5,5.34
47.9,323.2,0,7.65
30.19,80.26,3,6.15
40.85,190.59,3,7.23
34.61,360.29,5,4.79
29.35,75.05,3,6.34
36.94,351.15,3,6.96
10.28,42.5,0,1.14
40.47,46.8,0,7.07
27.09,59.0,0,4.75
43.62,154.79,5,5.45
21.18,389.65,3,5.16
48.46,257.35,5,5.46
41.66,225.06,3,7.13
13.68,121.73,5,2.23
42.52,128.7,0,7.18
12.32,326.38,5,2.4
21.27,130.62,1,2.66
22.11,138.49,1,3.0
17.48,51.7,5,2.62
16.0,142.47,3,3.74
42.0,360.32,5,5.55
32.86,186.53,3,6.47
8.4,47.5,0,0.92
41.28,318.21,1,5.41
14.52,344.51,3,4.02
35.01,323.7,5,4.9
49.72,266.9,0,8.11
28.21,268.9,0,5.27
46.06,157.47,5,5.37
45.61,244.86,3,7.85
28.93,339.14,3,6.3
10.45,109.4,3,3.65
15.88,72.65,5,2.37
22.93,146.19,1,2.67
4.03,363.8,0,0.45
39.13,298.14,1,4.99
28.81,297.96,3,6.21
21.33,131.18,1,2.5
38.94,307.42,3,7.13
28.61,331.4,0,5.6
21.86,260.15,3,5.03
39.09,36.4,5,5.17
36.32,385.6,0,6.48
28.01,193.83,1,3.74
39.93,271.73,3,6.85
12.46,66.27,5,1.98
46.48,315.49,5,5.55
40.26,383.32,5,5.56
24.11,157.25,1,3.18
15.76,132.45,3,3.98
32.06,309.28,3,6.63
12.37,143.09,3,3.55
22.55,305.3,5,3.16
41.26,317.7,5,5.32
17.88,152.8,5,2.66
22.51,351.3,0,2.92
35.16,133.54,3,6.82
20.49,123.3,1,2.5
33.82,196.53,3,6.58
22.56,237.6,0,3.0
42.76,332.09,1,5.73
15.16,273.2,0,1.67
39.09,364.57,3,7.05
24.04,366.1,0,3.75
22.89,145.81,1,2.91
37.6,380.11,3,7.11
22.79,144.87,1,2.79
15.24,74.15,1,1.65
13.62,67.55,5,2.11
21.74,101.47,3,5.0
35.04,180.5,0,6.61
44.97,229.1,0,7.45
48.9,320.73,5,5.71
43.72,341.1,1,6.05
28.54,279.1,0,5.28
19.76,100.5,0,1.96
29.19,375.6,0,5.48
48.33,59.91,3,8.68
48.13,163.73,3,8.66
32.75,261.86,3,6.69
25.45,192.32,3,5.68
40.76,207.01,3,7.11
41.42,244.98,5,5.57
23.47,221.69,5,3.16
17.12,91.78,1,2.18
22.21,66.7,0,3.08
35.35,262.68,1,4.44
44.57,231.3,0,7.36
40.6,311.83,1,5.04
47.66,263.61,5,5.45
21.41,131.93,1,2.71
30.86,59.37,3,6.47
33.77,230.48,3,6.54
16.03,157.3,0,1.63
15.13,367.3,0,1.44
3.73,222.6,0,0.34
22.06,52.42,3,4.86
44.04,187.19,5,5.5
35.39,134.37,5,4.83
17.14,244.67,5,2.57
22.93,247.6,5,2.89
37.74,149.42,3,6.73
30.87,122.98,3,6.41
38.01,87.64,5,4.92
12.68,378.59,5,2.39
17.04,91.03,1,2.26
13.61,362.4,0,1.55
49.87,247.3,0,7.84
36.87,297.69,5,5.21
29.93,211.84,1,4.17
43.56,176.12,5,5.58
24.84,119.79,3,5.42
45.29,73.69,3,7.83
16.44,85.41,1,2.03
25.31,168.51,1,3.23
27.91,232.4,0,5.2
15.38,75.46,1,2.01
40.68,146.77,3,7.04
10.54,217.84,5,2.21
13.39,383.25,3,3.77
47.42,74.4,0,7.7
15.26,74.34,1,1.88
7.85,248.6,0,0.86
23.95,155.75,1,2.97
23.71,153.5,1,3.13
16.06,248.2,0,1.66
25.61,171.32,1,3.36
18.28,102.66,1,2.34
44.53,367.48,3,7.66
49.25,180.49,3,9.27
14.04,59.69,3,3.85
10.54,30.07,1,1.5
21.85,136.06,1,2.82
14.16,64.02,1,1.91
17.64,96.66,1,2.03
26.41,178.83,1,3.41
29.15,42.96,3,6.21
0.68,255.9,0,0.2
49.68,206.11,5,5.61
15.02,262.44,3,3.83
34.93,316.0,3,6.87
24.64,202.8,0,3.82
3.58,325.2,0,0.49
31.53,169.12,5,4.05
32.11,46.24,3,6.54
20.07,69.55,3,4.58
48.68,251.31,5,5.56
42.9,333.4,1,5.62
30.82,378.3,0,6.17
13.87,197.37,3,3.69
39.82,123.0,3,6.82
11.26,249.5,0,1.07
5.63,220.3,0,0.75
38.25,337.01,3,6.97
49.17,342.6,0,7.86
22.51,142.25,1,2.82
16.68,104.52,3,3.85
49.28,295.6,3,9.4
10.98,34.19,1,1.33
24.09,48.77,5,2.93
30.53,315.69,3,6.66
29.81,210.72,1,3.99
26.15,318.89,3,6.07
20.93,67.58,5,2.75
33.89,42.15,5,4.23
18.96,286.44,3,4.38
38.43,291.57,1,4.95
13.46,57.45,1,1.81
9.13,381.1,0,0.73
38.61,195.53,5,5.25
47.82,62.19,5,5.4
22.45,163.93,5,3.19
29.53,191.43,3,6.4
11.72,298.6,5,2.43
23.21,158.54,5,3.04
25.9,246.41,3,5.71
49.97,302.78,3,9.83
40.2,188.48,3,6.97
15.62,117.84,3,3.82
16.74,44.52,3,4.0
40.4,309.95,1,5.28
44.98,378.94,3,7.92
31.1,131.0,3,6.31
16.75,248.27,3,3.99
42.02,311.0,0,7.29
42.08,153.75,3,7.12
18.08,100.79,1,2.24
2.53,209.0,0,0.26
18.28,42.92,3,4.19
38.36,270.48,3,6.78
18.33,78.8,0,1.84
23.81,302.9,0,3.44
19.68,248.2,0,2.03
11.22,126.76,5,2.1
17.82,98.35,1,2.31
14.63,355.18,3,3.91
20.63,294.63,3,4.61
23.97,155.94,1,3.19
47.73,316.83,3,8.67
45.14,354.41,1,6.27
37.67,121.8,5,4.95
20.83,252.32,5,2.78
43.84,213.46,5,5.43
14.16,129.65,3,3.91
42.8,110.3,0,7.37
19.95,312.36,3,4.81
20.54,166.77,3,4.79
43.02,127.75,3,7.25
37.0,169.08,3,6.68
15.81,310.9,0,1.55
44.28,367.29,3,7.57
24.07,156.88,1,2.97
29.07,367.9,5,4.23
26.33,246.73,5,3.62
24.47,160.63,1,3.24
34.93,74.22,5,4.58
39.79,193.26,5,5.51
13.45,323.15,3,4.03
38.85,162.74,3,6.81
34.81,350.73,5,4.83
15.07,104.73,3,3.91
47.87,372.4,0,7.7
20.04,309.9,0,1.93
35.5,229.65,3,6.64
28.93,202.46,1,3.69
17.99,221.18,3,4.17
10.6,310.49,3,4.08
29.26,319.01,3,6.43
32.03,104.52,3,6.54
46.0,54.8,3,8.0
28.03,34.95,5,3.54
35.25,36.03,3,6.77
35.93,230.72,3,6.89
42.09,376.33,3,7.27
39.33,391.44,5,5.71
45.8,219.4,5,5.64
7.88,317.2,0,0.75
36.22,235.79,3,6.61
10.6,30.63,1,1.41
30.43,136.51,5,3.96
43.42,51.4,0,7.3
44.84,351.6,1,6.19
31.34,47.13,3,6.32
30.19,214.28,1,3.97
28.57,78.23,3,6.03
38.24,376.6,0,6.7
7.38,315.2,0,0.9
29.09,153.8,0,5.49
10.62,88.95,5,2.22
15.68,180.26,3,4.02
10.86,33.07,1,1.46
32.05,356.42,5,4.69
15.47,286.02,3,4.13
35.63,288.42,5,4.9
29.25,117.01,5,3.85
23.94,394.3,0,3.72
43.16,233.5,3,7.48
28.76,42.3,0,5.43
20.39,234.4,3,4.56
34.62,25.8,0,6.5
26.63,194.66,5,3.49
44.66,349.91,1,6.16
12.8,180.56,3,3.74
43.17,281.55,3,7.46
32.81,238.86,1,4.25
21.34,285.8,0,2.48
26.77,182.2,1,3.61
31.24,394.4,0,6.15
23.99,313.51,3,5.64
31.63,58.53,5,4.06
31.79,229.29,1,4.16
48.0,318.92,5,5.61
47.17,357.0,0,7.86
41.8,294.1,5,5.55
35.69,216.4,0,6.66
36.3,189.84,3,6.64
47.16,373.36,1,6.76
38.0,59.8,3,6.83
29.99,211.87,3,6.31
24.79,180.53,3,5.56
24.27,158.75,1,3.18
44.44,347.85,1,6.08
18.7,346.39,3,4.46
11.76,376.9,0,1.0
46.44,30.48,3,8.09
13.23,200.23,3,3.64
33.94,329.47,3,6.93
32.7,135.04,3,6.6
23.84,258.4,0,3.59
33.57,245.99,1,4.26
28.89,277.1,0,5.43
29.98,329.39,3,6.64
46.76,92.24,3,8.04
13.36,185.9,0,1.33
25.59,172.4,0,4.33
39.05,85.77,3,6.88
44.14,265.31,5,5.6
25.67,154.64,5,3.47
48.82,55.5,0,7.69
10.12,46.78,5,2.12
19.4,159.19,3,4.6
34.97,215.49,3,6.81
18.01,380.8,0,1.89
47.22,307.4,0,7.89
42.92,147.4,0,7.32
22.53,198.45,5,2.95
38.67,275.07,5,5.26
39.21,172.7,5,5.27
28.83,201.53,1,3.91
42.88,258.84,5,5.56
25.59,171.14,1,3.4
46.22,364.54,1,6.51
17.54,28.09,3,4.17
25.49,170.2,1,3.39
48.65,39.6,0,7.98
43.58,339.78,1,5.99
49.84,136.25,3,9.46
18.54,100.72,3,4.25
37.42,268.5,0,6.55
42.78,332.28,1,5.9
47.05,167.65,3,8.38
16.76,179.92,3,3.91
38.83,60.21,5,5.22
36.2,122.01,3,6.67
25.55,295.84,5,3.53
30.46,288.09,3,6.53
14.33,338.12,3,4.05
36.35,272.06,1,4.6
41.18,63.82,3,6.79
44.34,46.67,5,5.33
26.86,291.3,0,4.94
15.32,286.38,5,2.7
39.84,195.97,3,6.99
39.73,303.76,1,4.83
37.65,284.25,1,4.98
17.1,91.6,1,2.08
44.0,231.07,5,5.52
19.71,252.8,0,2.05
24.06,254.7,0,3.81
21.52,266.3,3,5.1
31.95,94.91,5,3.98
34.73,349.13,5,5.02
2.4,132.1,0,0.31
44.1,336.0,0,7.29
47.55,135.46,3,8.46
29.76,282.2,0,5.97
31.44,363.4,0,6.31
14.95,381.78,3,4.03
36.99,385.7,0,6.7
39.05,297.39,1,4.93
30.97,351.29,5,4.48
43.9,394.15,3,7.77
24.33,336.48,5,3.45
43.87,26.5,0,7.33
48.64,387.24,1,7.21
31.81,229.48,1,4.17
46.1,156.14,5,5.25
41.53,353.07,3,7.12
40.04,204.69,5,5.37
28.14,246.56,3,6.17
22.15,209.8,3,5.16
31.21,352.63,5,4.44
14.01,357.8,0,1.36
46.56,367.73,1,6.78
13.78,155.9,0,1.54
8.83,328.0,0,0.86
12.42,361.03,5,2.36
22.86,164.78,3,5.24
26.29,130.3,0,4.59
28.98,386.46,3,6.3
11.63,302.3,3,3.9
16.39,29.57,3,3.91
18.83,191.26,3,4.45
27.99,203.5,0,5.27
17.61,256.0,0,1.59
49.6,322.0,0,7.89
20.17,381.17,5,2.95
49.85,340.21,3,9.82
4.05,390.5,0,0.36
47.03,139.51,3,8.15
15.86,351.96,3,4.17
28.39,228.46,3,6.35
37.09,200.5,0,6.78
28.31,196.65,1,3.77
15.7,38.48,5,2.09
29.25,334.69,3,6.58
15.98,57.01,5,2.39
44.14,345.04,1,6.1
29.7,298.65,3,6.48
37.2,54.84,3,6.57
25.65,240.71,3,5.78
42.32,276.06,5,5.85
29.39,206.78,1,3.77
28.95,362.51,5,4.0
16.36,83.66,5,2.41
12.54,48.82,1,1.62
33.62,68.5,0,6.5
48.59,95.38,3,8.99
45.6,201.87,3,8.02
30.97,179.4,0,6.28
13.72,264.29,3,3.72
21.33,172.09,5,2.66
18.5,104.73,1,2.47
45.18,66.15,5,5.49
44.29,344.94,3,7.74
26.97,184.08,1,3.48
24.68,62.87,3,5.48
17.58,98.6,3,4.25
32.59,94.75,3,6.6
4.55,115.6,0,0.61
19.28,282.0,0,1.86
26.27,370.32,5,3.75
23.45,55.09,5,2.98
43.35,291.0,0,7.22
17.7,100.32,3,4.02
10.79,397.19,3,3.83
32.81,334.26,5,4.54
20.5,87.18,3,4.72
18.08,399.3,0,1.83
32.29,236.3,0,6.19
20.29,64.2,0,1.93
35.17,260.99,1,4.45
15.42,75.84,1,1.85
8.7,289.4,0,0.68
26.17,176.58,1,3.55
11.33,116.4,0,1.24
47.56,215.64,5,5.5
18.62,310.57,5,2.56
18.28,58.9,0,1.85
14.47,220.19,3,3.96
13.18,298.08,5,2.49
40.85,233.6,0,7.02
49.82,312.07,5,5.73
31.07,324.54,5,4.34
16.23,354.1,3,3.95
12.45,383.79,3,3.99
24.87,213.52,5,3.37
17.98,106.0,0,1.79
15.6,147.72,3,4.06
41.34,51.35,3,7.11
17.38,58.82,3,3.97
28.63,362.83,3,6.45
28.46,118.5,3,6.19
14.42,238.12,5,2.24
26.39,250.9,0,4.61
33.47,206.42,3,6.52
37.23,280.32,1,4.78
13.96,180.03,3,3.58
15.91,372.65,3,4.26
20.36,202.48,3,4.7
24.92,219.07,3,5.53
48.12,31.3,0,7.7
42.48,329.46,1,5.55
32.72,254.6,0,6.37
35.62,329.45,3,7.06
18.74,103.12,3,4.26
35.73,266.25,1,4.39
39.73,246.34,3,6.81
41.72,76.16,5,5.37
47.91,399.13,3,8.89
43.84,239.0,3,7.4
10.84,32.88,1,1.48
45.44,357.23,1,6.53
43.88,228.86,3,7.45
22.69,347.8,0,3.24
42.92,308.23,5,5.62
42.77,387.95,3,7.36
44.38,302.31,3,7.68
21.49,348.39,5,3.16
36.31,271.69,1,4.5
26.61,109.23,5,3.35
46.79,365.38,3,8.21
41.56,320.84,1,5.51
27.59,345.1,0,4.85
17.44,118.44,3,4.08
14.27,225.12,3,3.8
1.38,190.1,0,0.23
28.29,326.41,3,6.22
18.58,68.9,5,2.32
22.1,123.67,3,5.12
11.04,377.31,5,2.32
29.11,383.17,3,6.51
25.73,243.77,5,3.6
12.18,53.87,5,2.08
21.11,176.31,5,2.8
15.86,160.07,5,2.52
47.92,323.4,0,7.92
4.38,295.2,0,0.61
48.8,388.74,1,7.21
22.35,250.04,3,5.0
48.97,224.1,0,7.98
42.94,370.45,3,7.57
10.2,142.69,3,3.95
11.91,44.36,3,3.65
16.42,292.97,5,2.67
41.52,233.63,3,7.15
15.32,74.9,1,2.15
49.38,150.44,5,5.44
25.49,41.9,3,5.43
43.22,266.5,0,7.45
8.73,317.5,0,0.73
29.34,48.0,0,5.76
41.16,179.14,5,5.33
26.06,111.26,3,5.5
17.56,380.9,0,1.87
28.17,367.94,3,6.25
15.7,78.46,1,1.83
26.17,205.51,3,5.94
35.02,102.89,3,6.58
14.84,368.07,5,2.65
14.58,85.2,0,1.33
27.17,236.82,5,3.64
22.01,88.35,5,2.94
30.19,208.53,5,4.01
32.97,107.0,0,6.45
25.61,330.61,3,5.67
17.72,31.94,3,4.05
39.1,122.79,3,6.74
25.51,275.9,0,4.35
7.2,320.1,0,0.57
28.09,194.58,1,3.73
34.45,323.24,3,6.71
28.93,76.33,5,3.59
34.34,39.39,3,6.6
39.29,299.64,1,4.87
34.79,77.28,3,6.8
31.12,384.2,0,6.26
10.18,26.69,1,1.47
